Date,Mobility
15-02-2020,33560736.666609265
16-02-2020,33057782.71939725
17-02-2020,32883862.668762412
18-02-2020,33317346.157244712
19-02-2020,33532655.62694126
20-02-2020,33181257.157943554
21-02-2020,30655427.087578427
22-02-2020,33149617.750547495
23-02-2020,32901352.235350102
24-02-2020,33953062.008909464
25-02-2020,34071430.16874333
26-02-2020,34215483.68038068
27-02-2020,34606261.11169646
28-02-2020,34506692.841089636
29-02-2020,33341021.052304573
01-03-2020,33723827.65581872
02-03-2020,35025588.443904944
03-03-2020,34463986.78392313
04-03-2020,34984661.57060246
05-03-2020,33708123.5885605
06-03-2020,32642020.070382256
07-03-2020,35162987.76584545
08-03-2020,36044110.89908385
09-03-2020,32795373.678856935
10-03-2020,24209927.22380118
11-03-2020,34796122.81793458
12-03-2020,34679064.98074007
13-03-2020,34108182.17031727
14-03-2020,33328412.807015162
15-03-2020,33224200.803455118
16-03-2020,32929902.136242792
17-03-2020,33051597.390925072
18-03-2020,33246327.787530575
19-03-2020,30832667.917596236
20-03-2020,28729248.37047751
21-03-2020,27460681.216237187
22-03-2020,22205459.44328879
23-03-2020,23614290.468558803
24-03-2020,22073782.904061228
25-03-2020,22034641.530088216
26-03-2020,21843238.228331137
27-03-2020,21822659.15524009
28-03-2020,22050345.59734643
29-03-2020,23689104.794346046
30-03-2020,22403291.97732855
31-03-2020,22347740.086527567
01-04-2020,22438027.20669341
02-04-2020,22162759.701587733
03-04-2020,22517016.404209185
04-04-2020,22686292.721890807
05-04-2020,23872537.268301476
06-04-2020,22169182.61840497
07-04-2020,22689388.543859616
08-04-2020,23013785.022949044
09-04-2020,22531410.148828067
10-04-2020,22629668.096795555
11-04-2020,22665951.237144824
12-04-2020,24347416.49131094
13-04-2020,22827494.315369863
14-04-2020,23064461.90791719
15-04-2020,23700409.03246156
16-04-2020,22436479.29570901
17-04-2020,22272077.98386022
18-04-2020,22414352.311633553
19-04-2020,23649725.832027968
20-04-2020,22378069.171284284
21-04-2020,22898275.09673893
22-04-2020,22881023.11849631
23-04-2020,22583628.62931517
24-04-2020,22604207.70240622
25-04-2020,22434931.384724602
26-04-2020,24179681.76914828
27-04-2020,22915995.936206236
28-04-2020,23116680.388404295
29-04-2020,23561224.21119159
30-04-2020,23080159.65970996
