Date,Mobility
15-02-2020,22539341.735794134
16-02-2020,22495036.341185383
17-02-2020,22612461.406284917
18-02-2020,22761676.244355813
19-02-2020,22662878.434849344
20-02-2020,22930618.95003588
21-02-2020,21997457.440511476
22-02-2020,22600722.226021048
23-02-2020,23265689.504083708
24-02-2020,23343661.002281312
25-02-2020,24025542.73618511
26-02-2020,22190657.116409227
27-02-2020,22028602.486058343
28-02-2020,22312155.399525642
29-02-2020,21429866.08038514
01-03-2020,21968320.439531133
02-03-2020,22202394.851128817
03-03-2020,22408915.515865464
04-03-2020,22215233.19786452
05-03-2020,22414865.787271976
06-03-2020,22698419.42351141
07-03-2020,22982912.309217796
08-03-2020,23962123.83001941
09-03-2020,22712843.19268284
10-03-2020,18284187.619096726
11-03-2020,22802553.87114431
12-03-2020,23448409.0831943
13-03-2020,23531391.60333146
14-03-2020,22563143.544192333
15-03-2020,22381361.76900442
16-03-2020,22384337.266093746
17-03-2020,22093894.831752986
18-03-2020,22244047.473746557
19-03-2020,22332981.710834514
20-03-2020,21404348.581146467
21-03-2020,19640869.109337308
22-03-2020,16083700.755778365
23-03-2020,16905710.196708065
24-03-2020,16148056.743094604
25-03-2020,15913043.804802101
26-03-2020,16402019.662078483
27-03-2020,16492990.146788808
28-03-2020,16689486.599329917
29-03-2020,16949077.064622
30-03-2020,16504730.049824819
31-03-2020,16552172.304072054
01-04-2020,16408907.737407675
02-04-2020,16497841.974495627
03-04-2020,17094539.964230046
04-04-2020,16908684.97102525
05-04-2020,17540763.309644718
06-04-2020,16533382.963157697
07-04-2020,17362280.479416586
08-04-2020,17432424.65281804
09-04-2020,17718953.786146805
10-04-2020,17826676.641376976
11-04-2020,17518383.392816674
12-04-2020,18141535.962940294
13-04-2020,17693275.647131115
14-04-2020,17514470.09180467
15-04-2020,17961953.243468188
16-04-2020,16987754.912922546
17-04-2020,17350378.49105928
18-04-2020,16755556.109170215
19-04-2020,17014208.77053962
20-04-2020,16900857.646229103
21-04-2020,17191300.080569867
22-04-2020,17345366.02357544
23-04-2020,17382944.70540416
24-04-2020,17647709.000729233
25-04-2020,17282109.92550318
26-04-2020,17911212.767033316
27-04-2020,17712841.429418992
28-04-2020,18046812.816994984
29-04-2020,18258184.58666631
30-04-2020,18265073.38476764
01-05-2020,18468618.55241496
02-05-2020,18441841.969699573
03-05-2020,18509787.810157366
04-05-2020,17663201.56500023
05-05-2020,18551441.878319383
06-05-2020,18847833.86129452
07-05-2020,19288429.66040099
08-05-2020,19517652.244291857
09-05-2020,19017714.370897263
10-05-2020,19809808.92392882
11-05-2020,19511701.972885348
12-05-2020,19788367.533795584
13-05-2020,20152867.44254981
14-05-2020,20149892.668232623
15-05-2020,20360325.91120913
16-05-2020,20289082.57133584
17-05-2020,20981441.510938242
18-05-2020,18710519.566036653
19-05-2020,18876486.774627395
20-05-2020,20391954.321631335
21-05-2020,20981764.958808698
22-05-2020,21266256.398970805
23-05-2020,20680359.785577584
24-05-2020,21495156.980535503
25-05-2020,20179644.748037335
26-05-2020,21489529.4342273
27-05-2020,21378831.0819078
28-05-2020,21745368.683828674
29-05-2020,22054599.736311655
30-05-2020,21831166.061278142
31-05-2020,22249834.937059637
01-06-2020,21730492.64392632
02-06-2020,21877670.511602703
03-06-2020,21903347.92784625
04-06-2020,21542761.320104033
05-06-2020,22109868.592582896
06-06-2020,21852930.89928183
07-06-2020,22287413.61888835
08-06-2020,22236220.148950405
09-06-2020,21974430.627942525
10-06-2020,22595868.95276995
11-06-2020,22627497.363192152
12-06-2020,22343943.004180584
13-06-2020,21652360.505951695
14-06-2020,22664752.597150415
15-06-2020,22236220.148950405
16-06-2020,22077141.738461
17-06-2020,22701554.837605614
18-06-2020,22092955.58228603
19-06-2020,22688715.768097773
