Date,Mobility
15-02-2020,30325928.78139694
16-02-2020,29506934.17874408
17-02-2020,29679752.119992796
18-02-2020,29876464.986121044
19-02-2020,29944184.021075945
20-02-2020,30219406.122450076
21-02-2020,27994722.293052215
22-02-2020,29513225.65834281
23-02-2020,29230288.324716903
24-02-2020,29650836.709029876
25-02-2020,29507836.166006014
26-02-2020,29688369.339506496
27-02-2020,29990181.111928567
28-02-2020,29697355.56527362
29-02-2020,30162097.065915346
01-03-2020,29783949.039024677
02-03-2020,29841258.095559407
03-03-2020,29876464.986121044
04-03-2020,30511329.681843095
05-03-2020,30309596.329631463
06-03-2020,29954072.23410499
07-03-2020,30699056.32220423
08-03-2020,30500017.716160994
09-03-2020,29210217.596000787
10-03-2020,21580223.763378736
11-03-2020,28659926.15239023
12-03-2020,29315089.0395615
13-03-2020,29445506.62338791
14-03-2020,29556897.009280454
15-03-2020,28950045.7372594
16-03-2020,28999639.561542347
17-03-2020,28876937.20996771
18-03-2020,28978439.3828312
19-03-2020,29104738.46783616
20-03-2020,27932914.515825238
21-03-2020,26377922.050840262
22-03-2020,18658997.788934782
23-03-2020,19884012.298658986
24-03-2020,18342504.78013339
25-03-2020,17836633.915584702
26-03-2020,18298680.670058034
27-03-2020,18143466.17409015
28-03-2020,18467901.877876423
29-03-2020,19389073.177921597
30-03-2020,18590604.22945106
31-03-2020,18295083.936627712
01-04-2020,18038367.267796334
02-04-2020,18093350.58441608
03-04-2020,18556821.091542464
04-04-2020,18574424.536823288
05-04-2020,19724820.847389966
06-04-2020,18283771.97094561
07-04-2020,18298680.670058034
08-04-2020,18421383.021632675
09-04-2020,18532773.40752521
10-04-2020,18571577.031517185
11-04-2020,18723194.794054743
12-04-2020,19778380.411356658
13-04-2020,18807093.521637414
14-04-2020,18576597.517600562
15-04-2020,18996243.9146516
16-04-2020,17964725.759496137
17-04-2020,17982329.204776958
18-04-2020,18133946.96731452
19-04-2020,18909791.98442086
20-04-2020,18229157.660579287
21-04-2020,18038736.274049755
22-04-2020,17922325.402073838
23-04-2020,18027424.308367655
24-04-2020,18045027.753648475
25-04-2020,18051319.233247202
26-04-2020,18916083.46401958
27-04-2020,18051319.233247202
28-04-2020,18006224.129656505
29-04-2020,18095143.34332255
30-04-2020,18077539.898041725
01-05-2020,18133946.96731452
02-05-2020,18452091.191502072
03-05-2020,19361950.52586514
04-05-2020,18886646.28766553
05-05-2020,19008077.64572482
06-05-2020,19180895.586973533
07-05-2020,19219699.210965503
08-05-2020,19254906.10152715
09-05-2020,19165986.887861107
10-05-2020,20254955.643071618
11-05-2020,19472819.146366555
12-05-2020,19582938.538743746
13-05-2020,19700773.163372714
14-05-2020,19844675.6936585
15-05-2020,20001313.942279443
16-05-2020,20180423.363126874
17-05-2020,21001363.483823907
18-05-2020,20385753.44876883
19-05-2020,20584792.05481207
20-05-2020,21046838.809285402
21-05-2020,20912824.492028665
22-05-2020,21103245.878558196
23-05-2020,20891624.313317515
24-05-2020,21796463.161597215
25-05-2020,20241329.153091922
26-05-2020,21263480.86060946
27-05-2020,21736839.5807649
28-05-2020,21591513.297826063
29-05-2020,21814446.82874884
30-05-2020,22156485.977815934
31-05-2020,22725577.15662726
01-06-2020,22380321.496000644
02-06-2020,22391633.461682744
03-06-2020,22596963.547324706
04-06-2020,22812181.845995713
05-06-2020,22596963.547324706
06-06-2020,22960202.875102945
07-06-2020,22576285.13400468
08-06-2020,22957508.12893455
09-06-2020,22763490.00897469
10-06-2020,23109125.891472112
11-06-2020,23345544.368854266
12-06-2020,23201641.838568483
13-06-2020,23095119.17962161
14-06-2020,23583006.37701867
15-06-2020,23127631.324014857
16-06-2020,23050024.076030917
17-06-2020,23350564.854937643
18-06-2020,23187635.12671798
19-06-2020,23043732.596432194
20-06-2020,23272957.606953695
21-06-2020,22607373.525744878
22-06-2020,23258950.8951032
23-06-2020,23047329.32986252
24-06-2020,23299178.27174823
25-06-2020,23175052.167520538
26-06-2020,22804619.37288164
27-06-2020,22909718.279175457
28-06-2020,22498308.879767317
29-06-2020,22730608.858328022
30-06-2020,22957139.12268113
01-07-2020,23120068.85090079
02-07-2020,23198947.092400085
03-07-2020,23266666.12735498
04-07-2020,23445775.54820241
05-07-2020,23277076.10577515
06-07-2020,23287866.306066126
07-07-2020,23359182.074451346
08-07-2020,23528403.28226973
09-07-2020,23499487.87130681
10-07-2020,23588407.084972847
11-07-2020,23577095.119290754
12-07-2020,23372286.799039915
13-07-2020,23517091.31658763
14-07-2020,23383076.999330893
15-07-2020,24229563.260293618
16-07-2020,24021538.428483263
17-07-2020,24000338.249772117
18-07-2020,24268366.88428559
19-07-2020,23777926.484240457
20-07-2020,23738601.094857357
21-07-2020,23961534.625780143
22-07-2020,24307170.508277558
23-07-2020,23812611.60941098
24-07-2020,24268366.88428559
25-07-2020,24051724.83296153
26-07-2020,23727810.894566383
27-07-2020,24012921.20896956
28-07-2020,24012921.20896956
29-07-2020,23907822.302675746
30-07-2020,24394665.96929055
31-07-2020,24170461.444852427
01-08-2020,23202022.060439285
02-08-2020,19168465.386913795
03-08-2020,20825873.227641568
04-08-2020,18473075.123097505
05-08-2020,18582292.52821277
06-08-2020,23397985.698443316
07-08-2020,23927751.48787155
08-08-2020,23782425.20493271
09-08-2020,19279106.54468211
10-08-2020,24026558.91456664
11-08-2020,23028823.89731977
12-08-2020,23304045.998693895
13-08-2020,22803195.620228592
14-08-2020,23722421.402229592
15-08-2020,22324447.407736357
16-08-2020,19028681.355449457
17-08-2020,19055651.248368207
18-08-2020,23704817.95694877
19-08-2020,24029253.660735033
20-08-2020,24032850.394165363
21-08-2020,23606010.53025368
22-08-2020,23473267.206512284
23-08-2020,19145092.227425374
24-08-2020,19556501.626833513
25-08-2020,24259380.65851847
26-08-2020,24312190.99436094
27-08-2020,23955243.14618142
28-08-2020,23241347.449822377
29-08-2020,23812611.60941098
30-08-2020,19511928.288633943
31-08-2020,19810523.54949649
01-09-2020,19334470.083172657
02-09-2020,22411562.646878548
03-09-2020,22445345.78478714
04-09-2020,23133922.80361359
05-09-2020,23363147.81413509
06-09-2020,22222934.01925548
07-09-2020,24204244.58276102
08-09-2020,24126637.33477708
09-09-2020,24039141.873764087
10-09-2020,23586983.3323198
11-09-2020,23759801.27356851
12-09-2020,23692082.238613617
13-09-2020,23608705.276422072
14-09-2020,24317058.72130661
15-09-2020,24221848.028041843
16-09-2020,24549880.465258442
17-09-2020,23948798.90744499
18-09-2020,24266943.131632537
19-09-2020,24302150.022194184
20-09-2020,23984527.56339776
21-09-2020,24422157.627600428
22-09-2020,24410845.661918327
23-09-2020,24586358.349335432
24-09-2020,24596246.56236448
25-09-2020,24557442.93837251
26-09-2020,24602538.0419632
27-09-2020,24585456.362073507
28-09-2020,24980686.06885387
29-09-2020,24706365.954741668
30-09-2020,24588684.08925041
01-10-2020,23980040.05832289
02-10-2020,23467355.948784363
03-10-2020,24403283.188804254
04-10-2020,23733733.367911693
05-10-2020,24552206.20517342
06-10-2020,24495799.135900628
07-10-2020,24954249.156943634
08-10-2020,25065639.542836174
09-10-2020,25089534.46771572
10-10-2020,24983011.808768854
11-10-2020,24905926.326176032
12-10-2020,25456370.52892429
13-10-2020,25283552.587675575
14-10-2020,25756911.30783101
15-10-2020,25516374.331627406
16-10-2020,25865606.947555155
17-10-2020,25144517.78433546
18-10-2020,25039940.64343277
19-10-2020,25579072.880498923
20-10-2020,25438767.083643466
21-10-2020,25482591.19371881
22-10-2020,25247074.70359859
23-10-2020,24990358.034767207
24-10-2020,24258858.893127345
25-10-2020,24711539.199962754
26-10-2020,25423489.378277622
27-10-2020,25434801.343959723
28-10-2020,25670317.834079947
29-10-2020,25010134.460825305
30-10-2020,25163925.204140138
31-10-2020,25739307.86255019
01-11-2020,25725822.916090816
02-11-2020,26032133.409205142
03-11-2020,25913027.791060828
04-11-2020,25781708.219972488
05-11-2020,25829129.063478164
06-11-2020,25906736.311462108
07-11-2020,26801914.40944585
08-11-2020,27165675.502615217
09-11-2020,26184653.159004632
10-11-2020,26421071.636386786
11-11-2020,26721612.41529351
12-11-2020,26668802.07945104
13-11-2020,26357851.322124142
14-11-2020,23933748.664812244
15-11-2020,22395763.17612158
16-11-2020,21952602.0760618
17-11-2020,24041847.83554987
18-11-2020,25393302.97379935
19-11-2020,25477201.70138202
20-11-2020,25516005.32537399
21-11-2020,25825532.330047835
22-11-2020,24858136.47641694
23-11-2020,24952825.404290587
24-11-2020,24622098.22090559
25-11-2020,24380290.25118664
26-11-2020,23894717.578087173
27-11-2020,24851323.231427092
28-11-2020,24974025.583001733
29-11-2020,25007059.492786102
30-11-2020,23971803.060679995
01-12-2020,25024141.1726758
02-12-2020,25987038.30561444
03-12-2020,25898119.091948405
04-12-2020,25742904.595980514
05-12-2020,26061048.820168063
06-12-2020,25967261.879556347
07-12-2020,25516005.32537399
08-12-2020,23340154.876517467
09-12-2020,25900444.83186338
10-12-2020,25599904.052956652
11-12-2020,24783604.196472198
12-12-2020,25558774.689049702
13-12-2020,25770918.01968151
14-12-2020,25952200.42130622
15-12-2020,26125018.362554926
16-12-2020,26654784.151983157
17-12-2020,26536949.52735419
18-12-2020,26476945.72465107
19-12-2020,26639875.45287073
20-12-2020,26474772.743873797
21-12-2020,26527061.314325143
22-12-2020,26265324.159410387
