Date,Mobility
15-02-2020,17055681.902115233
16-02-2020,16788656.43313081
17-02-2020,17414350.409067117
18-02-2020,17370031.382912308
19-02-2020,17640304.762804687
20-02-2020,17352111.95864778
21-02-2020,16771786.76008687
22-02-2020,17460563.108824205
23-02-2020,16673017.78179934
24-02-2020,17403466.24291509
25-02-2020,16825940.201173116
26-02-2020,17003726.620716352
27-02-2020,16849001.209947873
28-02-2020,17104450.833441135
29-02-2020,16671968.030578744
01-03-2020,16857991.70249762
02-03-2020,17065273.39179655
03-03-2020,17171139.189031564
04-03-2020,17616552.07469079
05-03-2020,17284040.244379073
06-03-2020,17114042.323122453
07-03-2020,17053788.228512958
08-03-2020,17311732.522740062
09-03-2020,16839767.79214801
10-03-2020,13130070.548778672
11-03-2020,16770646.326658707
12-03-2020,17040767.463508543
13-03-2020,17233978.636582468
14-03-2020,16775787.911168939
15-03-2020,16913705.209728457
16-03-2020,14689106.330793548
17-03-2020,16819415.25798461
18-03-2020,16789228.30888978
19-03-2020,16718600.363052258
20-03-2020,16427221.20882237
21-03-2020,13265645.419646887
22-03-2020,11066482.416640416
23-03-2020,12416219.714084143
24-03-2020,11315436.218317771
25-03-2020,11467424.033102293
26-03-2020,11429539.26792842
27-03-2020,11814698.058978157
28-03-2020,11355815.654225485
29-03-2020,11653781.312478852
30-03-2020,11831324.806771979
31-03-2020,11774919.620202007
01-04-2020,11683786.897158545
02-04-2020,11708741.579535576
03-04-2020,11762742.777579274
04-04-2020,11740282.765936086
05-04-2020,11836108.31940075
06-04-2020,12010403.902785921
07-04-2020,12004060.324012555
08-04-2020,12154245.147402378
09-04-2020,12290808.208656216
10-04-2020,12335728.231942592
11-04-2020,11960342.294989314
12-04-2020,12268591.12226314
13-04-2020,12452568.877537198
14-04-2020,12172164.571666906
15-04-2020,12494994.230089733
16-04-2020,12407648.854250822
17-04-2020,12535373.665997451
18-04-2020,12316606.81341493
19-04-2020,12341112.741702933
20-04-2020,12871071.846382149
21-04-2020,12641330.14544003
22-04-2020,12706816.506767325
23-04-2020,12574551.107642032
24-04-2020,12808833.39596281
25-04-2020,12294146.801771738
26-04-2020,12653058.233973736
27-04-2020,12630355.297080435
28-04-2020,12764514.369808001
29-04-2020,12779338.126207119
30-04-2020,12830692.41047443
01-05-2020,12589374.86404115
02-05-2020,12907754.617292888
03-05-2020,12819960.48736495
04-05-2020,13781200.400643416
05-05-2020,13394238.618198974
06-05-2020,13784448.311551368
07-05-2020,13607262.8891397
08-05-2020,13941668.393053692
09-05-2020,12482817.387467002
10-05-2020,12371962.248764304
11-05-2020,12707417.503898893
12-05-2020,13265822.127113204
13-05-2020,13537989.18060786
14-05-2020,13941067.395922124
15-05-2020,13878828.945502786
16-05-2020,14241527.724909334
17-05-2020,13912416.048548112
18-05-2020,14908292.8160925
19-05-2020,14715834.88319269
20-05-2020,15263264.658047406
