Date,Mobility
15-02-2020,14973819.634485776
16-02-2020,14680596.440242657
17-02-2020,14889922.298623348
18-02-2020,15115973.156610744
19-02-2020,15327721.30631596
20-02-2020,15384369.514722796
21-02-2020,15549466.85727637
22-02-2020,16549157.75515305
23-02-2020,15377623.967307191
24-02-2020,14889922.298623348
25-02-2020,14814668.774925208
26-02-2020,14812246.483600678
27-02-2020,15177214.258919684
28-02-2020,15289154.386624593
29-02-2020,15305337.41059137
01-03-2020,15406753.410447387
02-03-2020,15025060.635521675
03-03-2020,15376540.01602733
04-03-2020,15565904.270007953
05-03-2020,15299115.889751611
06-03-2020,15442898.038814224
07-03-2020,15282139.201397954
08-03-2020,16149925.667151803
09-03-2020,16226532.779940842
10-03-2020,13960324.005785117
11-03-2020,14743987.49604724
12-03-2020,15238707.04997558
13-03-2020,15240587.365660181
14-03-2020,15119189.112322157
15-03-2020,14506580.247678043
16-03-2020,14531407.08380911
17-03-2020,14923623.986583715
18-03-2020,14833525.778963465
19-03-2020,14892596.27869483
20-03-2020,14622029.318005199
21-03-2020,13456154.42627723
22-03-2020,10376595.494033024
23-03-2020,11173200.003432855
24-03-2020,10755593.639805311
25-03-2020,10603981.992047232
26-03-2020,10586442.6789717
27-03-2020,10798753.453398792
28-03-2020,10473146.262158038
29-03-2020,10631503.457331723
30-03-2020,10636075.702151893
31-03-2020,10773384.641627796
01-04-2020,10696774.828820903
02-04-2020,10652800.701758599
03-04-2020,10777435.559889974
04-04-2020,10526830.203600409
05-04-2020,10741835.607180925
06-04-2020,10813307.85042792
07-04-2020,11650087.25737483
08-04-2020,11664641.654403958
09-04-2020,11712646.0506465
10-04-2020,11592876.424246125
11-04-2020,11264846.941680841
12-04-2020,11348764.926625209
13-04-2020,11536228.215839295
14-04-2020,11801136.280411039
15-04-2020,12051199.661060676
16-04-2020,12133468.369985456
17-04-2020,12182287.079696823
18-04-2020,11748790.679013338
19-04-2020,11717783.620206397
20-04-2020,12080871.079840804
21-04-2020,12332290.749599196
22-04-2020,12181493.41530994
23-04-2020,12263762.12423472
24-04-2020,12190388.916221183
25-04-2020,11756078.202068873
26-04-2020,11848891.687924486
27-04-2020,12104883.602503045
28-04-2020,12448281.795566285
29-04-2020,12552140.735828774
30-04-2020,12531364.817959888
01-05-2020,12572102.340228837
02-05-2020,12324733.588732624
03-05-2020,12433457.760726118
04-05-2020,13073585.390636867
05-05-2020,13527857.709189236
06-05-2020,13829162.090874773
07-05-2020,13867456.672737246
08-05-2020,13590416.502460906
09-05-2020,12549155.81978237
10-05-2020,12899299.560261214
11-05-2020,13088933.452052876
12-05-2020,13445820.039929466
13-05-2020,13675921.816179043
14-05-2020,13995307.486580038
15-05-2020,13939473.591642031
16-05-2020,13589874.526820976
17-05-2020,13707494.199725714
18-05-2020,14076782.531117935
19-05-2020,14396982.514987757
20-05-2020,14320372.702180862
21-05-2020,14336283.388318744
22-05-2020,14139903.949111478
23-05-2020,13626561.130827747
24-05-2020,13851276.348788327
