Date,Mobility
15-02-2020,22359151.917445436
16-02-2020,22238363.839295257
17-02-2020,21825790.46406137
18-02-2020,22042189.064273577
19-02-2020,22250060.420323778
20-02-2020,22318572.691733204
21-02-2020,20516809.67787088
22-02-2020,21803858.780801024
23-02-2020,21469159.716183152
24-02-2020,21751468.170118332
25-02-2020,21538506.782637168
26-02-2020,21869730.366543356
27-02-2020,22194347.400851984
28-02-2020,22575550.51765764
29-02-2020,22184985.36164539
01-03-2020,22125873.3974232
02-03-2020,22023579.78980233
03-03-2020,22116511.358216614
04-03-2020,22150330.962408707
05-03-2020,22615294.948325288
06-03-2020,22367602.625646148
07-03-2020,22783460.14168849
08-03-2020,22997409.396136828
09-03-2020,21089992.097883888
10-03-2020,16826729.023445625
11-03-2020,22253688.97295805
12-03-2020,22547770.543883037
13-03-2020,22246814.547495965
14-03-2020,22011010.145748578
15-03-2020,21914603.09662261
16-03-2020,21576543.35523499
17-03-2020,21784414.711285196
18-03-2020,22026143.939508133
19-03-2020,21644979.09068312
20-03-2020,21641618.413913373
21-03-2020,20885175.274758257
22-03-2020,14813159.957053652
23-03-2020,15972890.968197362
24-03-2020,15070214.318939388
25-03-2020,14827688.563652504
26-03-2020,15227500.954929404
27-03-2020,15131132.173784085
28-03-2020,15112522.899312839
29-03-2020,15519776.635231886
30-03-2020,15233387.51342431
31-03-2020,15379582.75554652
01-04-2020,15137853.527323578
02-04-2020,14631628.592572758
03-04-2020,14969688.333960377
04-04-2020,15019514.794937264
05-04-2020,15497768.416010246
06-04-2020,14739808.758688537
07-04-2020,15004304.465216415
08-04-2020,15090552.948071847
09-04-2020,15115087.049018644
10-04-2020,15142981.826735187
11-04-2020,15310312.225053798
12-04-2020,15524866.666662848
13-04-2020,15089718.153027259
14-04-2020,15161552.833225785
15-04-2020,15453108.522425616
16-04-2020,14854710.278343808
17-04-2020,15170800.068490438
18-04-2020,15093040.561816359
19-04-2020,15230670.291795919
20-04-2020,14978100.774180438
21-04-2020,15285739.856126357
22-04-2020,15356739.741280291
23-04-2020,14922349.486728001
24-04-2020,15186010.39821129
25-04-2020,15219830.002403384
26-04-2020,15530714.957177108
27-04-2020,15015281.055142282
28-04-2020,15226551.355942877
29-04-2020,15369385.921295337
30-04-2020,15118371.189827096
01-05-2020,15415889.973483127
02-05-2020,15611115.149518283
03-05-2020,15670985.372823766
04-05-2020,15540115.264364345
05-05-2020,15392152.399600275
06-05-2020,15840994.72479012
07-05-2020,15931438.679459892
08-05-2020,16033694.019100118
09-05-2020,15906069.783468507
10-05-2020,16325173.172338655
11-05-2020,16160483.45968714
12-05-2020,16160483.45968714
13-05-2020,16433468.142396374
14-05-2020,16535761.75001725
15-05-2020,16926250.370068207
16-05-2020,16799422.661500536
17-05-2020,18080661.741897073
18-05-2020,17568588.516631994
19-05-2020,17897362.754774313
20-05-2020,18430685.940177735
21-05-2020,18458618.98587492
22-05-2020,18659768.98838563
23-05-2020,18505084.770082064
24-05-2020,18979977.7143853
25-05-2020,17364116.105332185
26-05-2020,18647919.335434526
27-05-2020,18967369.802350897
28-05-2020,19162671.51434735
29-05-2020,19407761.419340037
30-05-2020,19088234.41646237
31-05-2020,19430413.09370303
01-06-2020,19206573.148848686
02-06-2020,19470272.328312617
03-06-2020,19864121.62513332
04-06-2020,19854874.38986867
05-06-2020,20245363.00991963
06-06-2020,19994310.010470737
07-06-2020,20075353.657953274
08-06-2020,19799046.566454936
09-06-2020,19603783.122439135
10-06-2020,20124460.12782751
11-06-2020,19802445.51120533
12-06-2020,20183648.62801099
13-06-2020,19653686.11937732
14-06-2020,20162398.66787265
15-06-2020,19647761.292901766
16-06-2020,19660407.472916808
17-06-2020,20109211.530126013
18-06-2020,19988385.183995187
19-06-2020,20034889.236182977
20-06-2020,20165039.35353975
21-06-2020,19919834.644605115
22-06-2020,20053498.510654222
23-06-2020,19880205.01787941
24-06-2020,20088076.37392961
25-06-2020,20283378.08592606
26-06-2020,20072904.312189408
27-06-2020,19781310.35500893
28-06-2020,19902933.22820369
29-06-2020,19608055.130214766
30-06-2020,19642671.2614708
01-07-2020,20271490.16499431
02-07-2020,19837061.642461367
03-07-2020,20283339.81794541
04-07-2020,19985782.766308736
05-07-2020,20485286.34752006
06-07-2020,19883527.426668506
07-07-2020,19933392.155626044
08-07-2020,20125218.386910807
09-07-2020,20227550.262512326
10-07-2020,20243595.387277767
11-07-2020,19930031.478856295
12-07-2020,20361022.788658198
13-07-2020,19905497.377909504
14-07-2020,19762624.54457639
15-07-2020,20311158.05970066
16-07-2020,20000993.096029587
17-07-2020,20292587.053210065
18-07-2020,19744015.270105146
19-07-2020,20153074.8966467
20-07-2020,19740692.861316048
21-07-2020,19604541.381522432
22-07-2020,19790481.054312285
23-07-2020,19558075.59731529
24-07-2020,19675541.26667637
25-07-2020,19489601.59388651
26-07-2020,18351878.80196444
27-07-2020,19536105.6460743
28-07-2020,19318872.250817508
29-07-2020,19672180.58990662
30-07-2020,20075430.193914566
31-07-2020,20727130.379684944
01-08-2020,19300492.58423014
02-08-2020,19763574.143562924
03-08-2020,17649120.28430436
04-08-2020,19729792.807351474
05-08-2020,19279962.61519445
06-08-2020,18951188.37705213
07-08-2020,19592691.728571326
08-08-2020,18966398.706772976
09-08-2020,17872577.549352244
10-08-2020,18969759.383542724
11-08-2020,18780420.76600248
12-08-2020,18411182.10608986
13-08-2020,19034834.442221113
14-08-2020,18804954.86694927
15-08-2020,18482978.51830774
16-08-2020,17342653.308699217
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,19012106.231896825
12-09-2020,18922535.34025229
13-09-2020,17041053.857170794
14-09-2020,19114399.839517698
15-09-2020,19464309.23385642
16-09-2020,19393347.61668313
17-09-2020,18964843.920625743
18-09-2020,19290219.214017667
19-09-2020,19442339.282615427
20-09-2020,17194941.548410416
21-09-2020,19141498.090170298
22-09-2020,19035805.53779903
23-09-2020,19168519.80486161
24-09-2020,19115294.399134327
25-09-2020,19266617.940668143
26-09-2020,19018963.88596965
27-09-2020,17025941.56000263
28-09-2020,19074791.709383383
29-09-2020,18799166.34100705
30-09-2020,18555707.75812289
01-10-2020,17769640.486590013
02-10-2020,17416446.95144284
03-10-2020,17977588.37860151
04-10-2020,15720866.873170555
05-10-2020,17903227.816677827
06-10-2020,17903189.548697177
07-10-2020,18625016.55659626
08-10-2020,18785625.60137538
09-10-2020,19057813.757020667
10-10-2020,18756934.296594895
11-10-2020,16680227.637478242
12-10-2020,19054491.34823157
13-10-2020,19128813.642174605
14-10-2020,19401798.324883837
15-10-2020,19268287.530757323
16-10-2020,19525265.35668176
17-10-2020,19155988.428788498
18-10-2020,17442633.87108956
19-10-2020,19326679.50387686
20-10-2020,19324077.08619041
21-10-2020,19494806.429259416
22-10-2020,18866784.05279985
23-10-2020,19111912.225773185
24-10-2020,18383440.400295902
25-10-2020,18188935.2153634
26-10-2020,18581949.717139512
27-10-2020,18625016.55659626
28-10-2020,18844775.833578214
29-10-2020,18838054.480038717
30-10-2020,18437522.097659167
31-10-2020,19017272.799289078
01-11-2020,19138137.41340055
02-11-2020,18840618.629744526
03-11-2020,19271686.475507718
04-11-2020,19448340.64505227
05-11-2020,19073897.149766754
06-11-2020,18562543.91560433
07-11-2020,19117040.5251848
08-11-2020,19176190.757387627
09-11-2020,18871950.620192107
10-11-2020,19293694.694729358
11-11-2020,19687620.52751135
12-11-2020,19734162.847679783
13-11-2020,20115480.768427387
14-11-2020,19299887.39706943
