Date,Mobility
15-02-2020,10160774.278119862
16-02-2020,9807409.231019367
17-02-2020,10049808.869114568
18-02-2020,10384935.238838667
19-02-2020,10124652.341880577
20-02-2020,10254419.760063969
21-02-2020,10440228.641835272
22-02-2020,10079480.371382494
23-02-2020,9809330.075144894
24-02-2020,10110379.922548313
25-02-2020,10337209.78798396
26-02-2020,10048257.482568264
27-02-2020,10310770.52223457
28-02-2020,10572974.263318188
29-02-2020,10577194.55458133
01-03-2020,10065886.708212145
02-03-2020,10261124.227254337
03-03-2020,10313254.698161798
04-03-2020,10306550.23097143
05-03-2020,10399701.685543232
06-03-2020,10441964.757171188
07-03-2020,10610338.287521087
08-03-2020,10017482.501195518
09-03-2020,10192606.618666606
10-03-2020,10459593.982815064
11-03-2020,10351791.505898912
12-03-2020,10344408.282546628
13-03-2020,10505019.98653216
14-03-2020,10408211.572498912
15-03-2020,10043173.706353595
16-03-2020,10251256.827974824
17-03-2020,10340257.295712883
18-03-2020,10408774.904300611
19-03-2020,10698969.297679918
20-03-2020,10914010.919710526
21-03-2020,10793926.172017032
22-03-2020,8329614.75079484
23-03-2020,10653118.57101992
24-03-2020,11106662.877530994
25-03-2020,8869375.195966918
26-03-2020,8962341.921749108
27-03-2020,9076285.534053931
28-03-2020,9051767.112430071
29-03-2020,8962318.73725053
30-03-2020,9090867.251968885
31-03-2020,9075722.202252232
01-04-2020,9113580.25382743
02-04-2020,9274007.229023349
03-04-2020,9415562.890611775
04-04-2020,9415493.586182378
05-04-2020,9246302.690811768
06-04-2020,9412963.290324332
07-04-2020,10218067.22417059
08-04-2020,10136519.28421421
09-04-2020,10224023.630769646
10-04-2020,10345913.79822845
11-04-2020,10354469.80511495
12-04-2020,9564741.769705774
13-04-2020,10228243.922032788
14-04-2020,10117532.546246504
15-04-2020,10405358.1880588
16-04-2020,10462951.038193015
17-04-2020,10567027.25121833
18-04-2020,10582287.725295197
19-04-2020,9888195.320385054
20-04-2020,10422424.081900978
21-04-2020,10653474.238599766
22-04-2020,10497267.55466699
23-04-2020,10688848.114247737
24-04-2020,10781999.56881954
25-04-2020,10699888.297061462
26-04-2020,9959127.80047061
27-04-2020,10573662.413979301
28-04-2020,10726327.56281085
29-04-2020,10660109.401360735
30-04-2020,10729305.76611038
01-05-2020,10712803.204069898
02-05-2020,10868871.279143881
03-05-2020,10080948.663500017
04-05-2020,10772062.865110634
05-05-2020,10708513.60837736
06-05-2020,10892826.368966041
07-05-2020,11249238.923795462
08-05-2020,11359456.272209443
09-05-2020,11390046.524792576
10-05-2020,10969692.071152076
11-05-2020,11440934.907736426
12-05-2020,11527945.226919558
13-05-2020,11773013.7697316
14-05-2020,11981660.223154528
15-05-2020,12201600.892610192
16-05-2020,12126872.844204398
17-05-2020,11617093.199882934
18-05-2020,11899054.924024148
19-05-2020,11990470.263260039
20-05-2020,11964709.753672566
21-05-2020,12185707.782302227
22-05-2020,12431339.65691597
23-05-2020,12082804.352811132
24-05-2020,11679769.82623182
25-05-2020,11332638.40344797
26-05-2020,12121595.193767255
27-05-2020,12212262.472411834
28-05-2020,12291141.507651372
29-05-2020,12465656.17338994
30-05-2020,12510264.812086325
31-05-2020,12073407.796405343
01-06-2020,12226844.190326786
02-06-2020,12513003.021232562
03-06-2020,12513681.777394475
04-06-2020,12568605.722811855
05-06-2020,12836271.843122227
06-06-2020,12645116.006484384
07-06-2020,12230293.236500034
08-06-2020,12515911.920102693
09-06-2020,12546571.477115221
10-06-2020,12737094.677521972
11-06-2020,12825841.11204102
12-06-2020,13004760.797832344
13-06-2020,12699545.924529461
14-06-2020,12301225.716585593
15-06-2020,12415377.242178608
16-06-2020,12797665.730955718
17-06-2020,12430891.749474484
18-06-2020,12605900.442585357
19-06-2020,12809832.577372842
20-06-2020,12855004.547870925
21-06-2020,11981992.457169456
22-06-2020,12388443.949056918
23-06-2020,12680813.219780762
24-06-2020,12351333.95807303
25-06-2020,12579530.481265364
26-06-2020,12724627.677955016
27-06-2020,12555506.087013807
28-06-2020,11933588.250152834
29-06-2020,12485136.93872995
30-06-2020,12857064.000855245
01-07-2020,12591318.7246704
02-07-2020,12750503.611902708
03-07-2020,12809153.821210926
04-07-2020,13068240.75013622
05-07-2020,10401779.429393275
06-07-2020,12787119.575514292
07-07-2020,12735737.16519814
08-07-2020,12639044.175525112
09-07-2020,12719165.298728263
10-07-2020,12747340.679813566
11-07-2020,12391422.152356448
12-07-2020,10378009.068360727
13-07-2020,12277547.84448102
14-07-2020,11998278.209555225
15-07-2020,12157084.493775444
16-07-2020,12324709.963534031
17-07-2020,12555575.391443204
18-07-2020,12341891.281736426
19-07-2020,10133619.2817106
20-07-2020,11958993.341226798
21-07-2020,11900906.463720279
22-07-2020,12055307.727887742
23-07-2020,12117120.869285101
24-07-2020,12308886.157655463
25-07-2020,12062506.222450413
26-07-2020,10280637.322525783
27-07-2020,11884334.597250402
28-07-2020,11935786.31199595
29-07-2020,11971344.916433536
30-07-2020,12050223.951673074
31-07-2020,12362073.987736925
01-08-2020,12485815.694891863
02-08-2020,10218145.424966507
03-08-2020,12144054.162406793
04-08-2020,12182096.942771602
05-08-2020,11301955.661936862
06-08-2020,11598291.19070484
07-08-2020,11721538.870487474
08-08-2020,11627639.355324356
09-08-2020,9763728.488071047
10-08-2020,11736868.648993738
11-08-2020,11224882.046462636
12-08-2020,11624167.12465253
13-08-2020,11513949.776238544
14-08-2020,11959293.494376626
15-08-2020,11683002.062750358
16-08-2020,9717245.125179952
17-08-2020,
