Date,Mobility
15-02-2020,55531103.69642988
16-02-2020,55343618.983867824
17-02-2020,56050111.232294865
18-02-2020,55650203.90569881
19-02-2020,56323565.26047665
20-02-2020,56492625.25768011
21-02-2020,58846354.86131123
22-02-2020,55942304.10420458
23-02-2020,54782004.749213636
24-02-2020,55881051.2350914
25-02-2020,54857742.34165205
26-02-2020,54585349.67146761
27-02-2020,55228993.22970817
28-02-2020,55720405.685030594
29-02-2020,55931011.023025915
01-03-2020,55518214.794177935
02-03-2020,56154505.2632732
03-03-2020,56463968.8191402
04-03-2020,56549938.13475994
05-03-2020,55939425.47016857
06-03-2020,56079829.02883212
07-03-2020,52531829.273528874
08-03-2020,56256242.115180895
09-03-2020,57054239.492334306
10-03-2020,55988323.900105745
11-03-2020,55847920.341442205
12-03-2020,55918122.12077396
13-03-2020,56198929.238101065
14-03-2020,55597586.93869367
15-03-2020,54796710.92750424
16-03-2020,56192332.06699707
17-03-2020,53462037.21716855
18-03-2020,52754483.61074416
19-03-2020,52509686.02110229
20-03-2020,51949889.06248675
21-03-2020,49802290.34174167
22-03-2020,32972562.95742389
23-03-2020,47918051.39597177
24-03-2020,41550374.37810831
25-03-2020,30369614.794025626
26-03-2020,30447169.66250271
27-03-2020,30558916.782626346
28-03-2020,30598644.84737955
29-03-2020,33829690.48769578
30-03-2020,31336672.16838251
31-03-2020,31041158.872764796
01-04-2020,31077168.40045002
02-04-2020,31336672.16838251
03-04-2020,31659024.626501463
04-04-2020,31662743.163569454
05-04-2020,34661880.116495766
06-04-2020,31414227.036859587
07-04-2020,31784722.006874397
08-04-2020,32002680.434015032
09-04-2020,32150437.08182388
10-04-2020,31871447.24053545
11-04-2020,32372114.0460325
12-04-2020,35581856.33695414
13-04-2020,32550344.408419922
14-04-2020,30839723.89995344
15-04-2020,31700569.96729333
16-04-2020,29770929.67368887
17-04-2020,30311240.55894846
18-04-2020,30278949.56833123
19-04-2020,33243894.269610986
20-04-2020,30386978.15138688
21-04-2020,29979717.735645536
22-04-2020,30197676.162786163
23-04-2020,30345432.810595017
24-04-2020,30878390.606709298
25-04-2020,32082136.563521437
26-04-2020,30806234.08136417
27-04-2020,28356578.37888141
28-04-2020,28201468.641927253
29-04-2020,28523821.100046206
30-04-2020,32624264.72481969
01-05-2020,30831309.452810794
02-05-2020,31701409.870325312
03-05-2020,34882495.72270703
04-05-2020,33824070.68959847
05-05-2020,33312416.242878795
06-05-2020,34628665.23785589
07-05-2020,35091421.25463839
08-05-2020,35624379.05075267
09-05-2020,35921793.60739971
10-05-2020,37964860.82719177
11-05-2020,37045022.0767081
12-05-2020,36715316.52944383
13-05-2020,36931457.6805458
14-05-2020,37149416.10768643
15-05-2020,37401566.78647361
16-05-2020,38939492.74565932
17-05-2020,39372614.950895235
18-05-2020,38380757.14504113
19-05-2020,38128606.466253944
20-05-2020,38731766.0417
21-05-2020,38598715.57218176
22-05-2020,39272076.92695959
23-05-2020,40206843.31069924
24-05-2020,41243125.091381215
25-05-2020,37829374.63356826
26-05-2020,39003402.793843135
27-05-2020,39473511.899770945
28-05-2020,39059654.31292561
29-05-2020,40328822.154004194
30-05-2020,42139140.78337434
31-05-2020,43112573.87386984
01-06-2020,40985660.05445275
02-06-2020,41014316.49299266
03-06-2020,40754812.725060165
04-06-2020,41273820.26092515
05-06-2020,41835434.49557934
06-06-2020,43393602.4461623
07-06-2020,44073339.517078765
08-06-2020,42262180.98467663
09-06-2020,41287770.52117445
10-06-2020,41828081.40643403
11-06-2020,42038686.74442936
12-06-2020,42467250.50956531
13-06-2020,43094370.61347661
14-06-2020,44543448.623006575
15-06-2020,42191979.205344856
16-06-2020,41828081.40643403
17-06-2020,41975838.05424289
18-06-2020,41414223.8195887
19-06-2020,41842787.58472465
20-06-2020,43148804.85652042
21-06-2020,41712172.83931168
22-06-2020,41491778.688065775
23-06-2020,40805528.431035995
24-06-2020,40384317.75504535
25-06-2020,40903325.29091033
26-06-2020,40349064.14540145
27-06-2020,42344210.30826302
28-06-2020,43085734.71136859
29-06-2020,41659777.32727189
30-06-2020,40966173.981096804
01-07-2020,41148122.8805522
02-07-2020,40861779.95011847
03-07-2020,40988233.24853271
04-07-2020,44138982.85631057
05-07-2020,31450938.99760209
06-07-2020,41891686.01466182
07-07-2020,41072385.288113795
08-07-2020,40762921.73224678
09-07-2020,40910678.380055636
10-07-2020,41198838.58652804
11-07-2020,43348338.56830245
12-07-2020,31695736.587243967
13-07-2020,42032089.573325366
14-07-2020,40643821.52297784
15-07-2020,41113930.62890565
16-07-2020,41269040.365859814
17-07-2020,41731796.382642314
18-07-2020,44391133.53509775
19-07-2020,31765938.36657574
20-07-2020,41337424.869152926
21-07-2020,41366081.30769284
22-07-2020,41506484.86635639
23-07-2020,41513837.9555017
24-07-2020,42116997.53094775
25-07-2020,42675733.131565936
26-07-2020,31157242.97802304
27-07-2020,41933231.355453685
28-07-2020,41324535.966900975
29-07-2020,41646888.425019935
30-07-2020,41927695.54234703
31-07-2020,42320249.77979777
01-08-2020,43257894.79757342
02-08-2020,31184082.140524287
03-08-2020,41673727.58752119
04-08-2020,41036375.76042857
05-08-2020,41007719.321888655
06-08-2020,40656710.42522979
07-08-2020,41996080.04564014
08-08-2020,43801924.21990099
09-08-2020,31434415.543272816
10-08-2020,43047289.4595781
11-08-2020,41016133.769031316
12-08-2020,42058928.73582662
13-08-2020,41996080.04564014
14-08-2020,42872693.64926799
15-08-2020,40460276.80244914
16-08-2020,31252466.643817406
17-08-2020,42759129.2531057
18-08-2020,41911172.08801776
19-08-2020,42303726.325468495
20-08-2020,41869626.747225896
21-08-2020,42304787.683465846
22-08-2020,40931225.81140893
