Date,Mobility
15-02-2020,35516826.252394244
16-02-2020,34891551.29493192
17-02-2020,35506875.51659686
18-02-2020,35297429.8865197
19-02-2020,35403750.524199285
20-02-2020,35365325.0746831
21-02-2020,35216770.78602185
22-02-2020,34433488.3165651
23-02-2020,34952442.63634784
24-02-2020,35461694.976565294
25-02-2020,35323588.93616564
26-02-2020,34910706.49783038
27-02-2020,35048812.53823005
28-02-2020,35658376.69430802
29-02-2020,35764946.0882197
01-03-2020,35465139.37807941
02-03-2020,35348868.00460243
03-03-2020,35568264.37047699
04-03-2020,35833090.03261521
05-03-2020,35578712.61873858
06-03-2020,36142847.478552885
07-03-2020,36600910.45691971
08-03-2020,36075449.80285369
09-03-2020,35974889.23076107
10-03-2020,35839596.36689848
11-03-2020,35900736.4645465
12-03-2020,35742977.70878417
13-03-2020,35923202.35644623
14-03-2020,35485155.893393435
15-03-2020,35123711.57314092
16-03-2020,35761750.4429377
17-03-2020,34301257.385471664
18-03-2020,34585353.2942276
19-03-2020,34485538.990831286
20-03-2020,34108135.11296231
21-03-2020,34192487.37120637
22-03-2020,23863864.07216087
23-03-2020,29310692.9006662
24-03-2020,26495529.91094952
25-03-2020,22106530.71054616
26-03-2020,22361405.636886988
27-03-2020,22383871.528786723
28-03-2020,22180434.720528625
29-03-2020,24290007.935294777
30-03-2020,22564344.93268088
31-03-2020,22341637.877805065
01-04-2020,22257783.13202521
02-04-2020,22745067.09280714
03-04-2020,22467477.518334474
04-04-2020,22528368.859750394
05-04-2020,24402586.151025537
06-04-2020,22632240.12084428
07-04-2020,23035305.535894994
08-04-2020,23335361.002267394
09-04-2020,23574276.370991763
10-04-2020,23219587.14125462
11-04-2020,23054575.782512717
12-04-2020,24883612.533756293
13-04-2020,23564574.39142648
14-04-2020,22880857.469133936
15-04-2020,23657882.360539522
16-04-2020,23061082.116795994
17-04-2020,23128728.54872729
18-04-2020,22912030.315670546
19-04-2020,24515413.1229884
20-04-2020,23212334.538275048
21-04-2020,23034808.023430794
22-04-2020,23328357.155519918
23-04-2020,23573778.858527564
24-04-2020,23544557.876112457
25-04-2020,23183113.55585994
26-04-2020,25050575.756619707
27-04-2020,23376848.384552747
28-04-2020,23154141.329676934
29-04-2020,23644372.17950877
30-04-2020,23854066.565818038
01-05-2020,23318903.932186734
02-05-2020,23779416.287139263
03-05-2020,25608453.03838284
04-05-2020,25137033.10843982
05-05-2020,24837226.398299526
06-05-2020,25846660.324146207
07-05-2020,26111237.23005233
08-05-2020,26494898.685972475
09-05-2020,25862371.125530567
10-05-2020,27501232.493314695
11-05-2020,27474862.873171955
12-05-2020,27303842.69261098
13-05-2020,27952081.054437246
14-05-2020,28258642.855092917
15-05-2020,28432609.924703803
16-05-2020,28600070.660031408
17-05-2020,28491147.41631156
18-05-2020,29145184.029460095
19-05-2020,28625732.19721315
20-05-2020,29461199.05344895
21-05-2020,29632467.990242023
22-05-2020,29851615.599884477
23-05-2020,29596491.917311545
24-05-2020,29878233.97625932
25-05-2020,28910325.61843329
26-05-2020,29651374.436908394
27-05-2020,30261187.34921847
28-05-2020,29867575.157500934
29-05-2020,30418946.104980797
30-05-2020,30999040.522411566
31-05-2020,31129281.40364819
01-06-2020,30964059.474409483
02-06-2020,30777079.736232053
03-06-2020,30915817.00160875
04-06-2020,31490017.6409397
05-06-2020,31754345.79061372
06-06-2020,31724876.051966514
07-06-2020,31848859.355151962
08-06-2020,32002714.38267128
09-06-2020,31251102.272215333
10-06-2020,31651220.79821614
11-06-2020,32064351.992783498
12-06-2020,32477234.43111876
13-06-2020,31951027.508356437
14-06-2020,32329388.22541852
15-06-2020,32205902.434697267
16-06-2020,31725373.564430714
17-06-2020,32244825.39667766
18-06-2020,31851213.204960126
19-06-2020,31964040.17692299
20-06-2020,31989204.20164053
21-06-2020,31222953.172712583
22-06-2020,31789824.351079997
23-06-2020,31325503.794662002
24-06-2020,31099601.09450418
25-06-2020,31177064.549720015
26-06-2020,31373746.26746273
27-06-2020,31095907.93675797
28-06-2020,31306559.162260342
29-06-2020,31644580.75142002
30-06-2020,31148092.323537007
01-07-2020,31209232.42118503
02-07-2020,31132132.76592055
03-07-2020,30851098.78993378
04-07-2020,32196200.455131985
05-07-2020,24963276.609325737
06-07-2020,31560974.76187227
07-07-2020,31057731.243473876
08-07-2020,31238204.647368036
09-07-2020,31402967.24987784
10-07-2020,31273931.96406642
11-07-2020,31970546.511206258
12-07-2020,24905083.400727626
13-07-2020,31954338.197357703
14-07-2020,30741467.463252924
15-07-2020,31457601.013242587
16-07-2020,31470613.681809135
17-07-2020,31673552.977603026
18-07-2020,32347452.87661104
19-07-2020,24814722.320664495
20-07-2020,31215489.999236207
21-07-2020,31134830.898738362
22-07-2020,31767109.702948168
23-07-2020,31493079.57370887
24-07-2020,31870234.695345744
25-07-2020,32195951.698899884
26-07-2020,24988938.146507483
27-07-2020,31863977.11729457
28-07-2020,31215738.755468305
29-07-2020,31977052.845489535
30-07-2020,31757656.479614984
31-07-2020,32028490.963572275
01-08-2020,32335186.47674079
02-08-2020,24450464.823874913
03-08-2020,31409109.784209758
04-08-2020,31105858.67255535
05-08-2020,30805305.693718757
06-08-2020,31231449.556852665
07-08-2020,31279328.22970204
08-08-2020,31227641.355387196
09-08-2020,24539830.879009638
10-08-2020,31566619.783739988
11-08-2020,30180030.736256424
12-08-2020,31521439.24370842
13-08-2020,31669993.532369662
14-08-2020,32063356.9678551
15-08-2020,30958050.65259041
16-08-2020,24623685.62478949
17-08-2020,31779261.05909916
18-08-2020,31334459.505530987
19-08-2020,32085822.85975483
20-08-2020,31808730.797746368
21-08-2020,31976440.289306078
22-08-2020,31131520.209737096
23-08-2020,24859041.548280496
24-08-2020,31118258.78493845
25-08-2020,31424820.58559412
26-08-2020,31853662.58154583
27-08-2020,31786016.149614535
28-08-2020,31750537.589148253
29-08-2020,32617923.56061697
30-08-2020,25291079.189514227
31-08-2020,31331397.572761822
01-09-2020,30853681.87903233
02-09-2020,31395599.603179008
