Date,Mobility
15-02-2020,15559294.364695806
16-02-2020,15092177.383385368
17-02-2020,15242130.38503497
18-02-2020,15415702.241038341
19-02-2020,15128715.106172226
20-02-2020,15570666.603513706
21-02-2020,15645911.6030517
22-02-2020,15626966.730232095
23-02-2020,15196050.09241692
24-02-2020,15665334.122005666
25-02-2020,15704378.778048396
26-02-2020,15660662.64615747
27-02-2020,15819961.105189437
28-02-2020,16046651.39607215
29-02-2020,16556809.750690332
01-03-2020,15796682.13581323
02-03-2020,15895543.484019024
03-03-2020,15959696.778424669
04-03-2020,15802902.746962596
05-03-2020,16002597.88488963
06-03-2020,15978304.271952678
07-03-2020,16065596.268891752
08-03-2020,15415364.86174675
09-03-2020,15396954.480667558
10-03-2020,15659310.623305125
11-03-2020,15459278.106086493
12-03-2020,15644222.200907765
13-03-2020,15897373.153005734
14-03-2020,15733006.487541957
15-03-2020,15287001.427329415
16-03-2020,15603010.496586733
17-03-2020,15473972.303586217
18-03-2020,15464570.000597801
19-03-2020,15492860.330799773
20-03-2020,15743984.501462216
21-03-2020,16049916.509147935
22-03-2020,11087700.986934396
23-03-2020,15507020.036559086
24-03-2020,14585650.602451216
25-03-2020,10112762.047443505
26-03-2020,10486844.066799877
27-03-2020,10611491.317637743
28-03-2020,10530419.931848027
29-03-2020,11446357.204601813
30-03-2020,10638149.091301823
31-03-2020,10792973.186934413
01-04-2020,10590913.88828025
02-04-2020,10721247.258527067
03-04-2020,10834662.537389807
04-04-2020,10834859.649838628
05-04-2020,11407172.281716311
06-04-2020,10515331.509450667
07-04-2020,10398256.892614504
08-04-2020,10235917.008586252
09-04-2020,10455034.665467262
10-04-2020,10521017.628859615
11-04-2020,10717728.187396422
12-04-2020,11454407.484737882
13-04-2020,10706496.215421297
14-04-2020,10536106.051256979
15-04-2020,10666833.64640143
16-04-2020,10425054.933121355
17-04-2020,10428911.383543596
18-04-2020,10391415.86280203
19-04-2020,11103267.055466123
20-04-2020,10434794.615401363
21-04-2020,10434654.34855859
22-04-2020,10289232.555914411
23-04-2020,10597134.499429611
24-04-2020,10704863.658883406
25-04-2020,10512206.663217656
26-04-2020,11233797.538161755
27-04-2020,10676713.59552421
28-04-2020,10568844.169227643
29-04-2020,10508547.325244239
30-04-2020,10752295.974353796
01-05-2020,10657431.343413018
02-05-2020,10835591.254027858
03-05-2020,11666740.957412463
04-05-2020,11677044.212749535
05-05-2020,11640843.869254269
06-05-2020,12104301.512591291
07-05-2020,12289442.71986138
08-05-2020,12589828.874980925
09-05-2020,12474921.306423062
10-05-2020,12693335.123404229
11-05-2020,12730099.039956564
12-05-2020,12905697.677395465
13-05-2020,12764132.335173525
14-05-2020,12924782.817057839
15-05-2020,13136384.685543189
16-05-2020,13225563.197075019
17-05-2020,13009006.813369952
18-05-2020,13017480.399720319
19-05-2020,13179820.283748567
20-05-2020,13170615.09320897
21-05-2020,13198905.42341094
22-05-2020,13429452.164715892
23-05-2020,13412731.185780637
24-05-2020,13449325.754173541
25-05-2020,12832001.813158633
26-05-2020,13478573.882330216
27-05-2020,13352096.96250564
28-05-2020,13435335.396573657
29-05-2020,13915176.63955434
30-05-2020,14148284.654035233
31-05-2020,14165934.349608533
01-06-2020,13688543.194277676
02-06-2020,13971673.878721552
03-06-2020,13654229.365375167
04-06-2020,13839651.1063308
05-06-2020,14138207.592463635
06-06-2020,14344657.833280444
07-06-2020,14095757.55650235
08-06-2020,14044074.565712085
09-06-2020,13939864.477388937
10-06-2020,13777524.593360687
11-06-2020,14276113.596712153
12-06-2020,14385672.425152658
13-06-2020,14446503.760876471
14-06-2020,14456975.047345707
15-06-2020,14117630.163106142
16-06-2020,14000358.433821158
17-06-2020,14113773.712683901
18-06-2020,13955093.166629074
19-06-2020,14193155.696329681
20-06-2020,14543198.060803961
21-06-2020,13988646.310025698
22-06-2020,13821043.612802792
23-06-2020,13815020.114102252
24-06-2020,13612820.548605315
25-06-2020,13622643.652122052
26-06-2020,13416587.636202877
27-06-2020,13934656.004114354
28-06-2020,14292748.648724703
29-06-2020,13747488.015408738
30-06-2020,13682997.341711499
01-07-2020,13582981.083102183
02-07-2020,13578927.520231128
03-07-2020,13813470.978801088
04-07-2020,14401435.606133204
05-07-2020,11349914.357043214
06-07-2020,13700252.812387167
