Date,Mobility
15-02-2020,64049898.04828325
16-02-2020,61971989.71462698
17-02-2020,63097652.921544075
18-02-2020,63321835.86099039
19-02-2020,64198998.43064234
20-02-2020,64261389.772912465
21-02-2020,62689592.71226371
22-02-2020,60557009.83782839
23-02-2020,61168006.14207206
24-02-2020,63047952.79409105
25-02-2020,63538301.99894564
26-02-2020,63885364.062942006
27-02-2020,63583027.71307264
28-02-2020,64198998.43064234
29-02-2020,65018744.07135019
01-03-2020,62734318.42639072
02-03-2020,63713623.63911377
03-03-2020,64342285.57150057
04-03-2020,65193226.883343466
05-03-2020,64370738.85447058
06-03-2020,64365764.441144556
07-03-2020,64869643.68899109
08-03-2020,62126064.5103121
09-03-2020,63371535.988443434
10-03-2020,63402731.659578495
11-03-2020,63583027.71307264
12-03-2020,63402731.659578495
13-03-2020,63614223.3842077
14-03-2020,61825631.72043293
15-03-2020,61220448.65769014
16-03-2020,63113086.52452622
17-03-2020,61075994.22348629
18-03-2020,60971619.5552542
19-03-2020,60848740.43070415
20-03-2020,61049444.50050647
21-03-2020,60352577.98434868
22-03-2020,39370411.98548523
23-03-2020,60001606.23884163
24-03-2020,53406960.66571375
25-03-2020,37004002.58489506
26-03-2020,36972806.91376
27-03-2020,37515598.63423266
28-03-2020,37649265.41360962
29-03-2020,40873165.634188145
30-03-2020,38165835.87627325
31-03-2020,38312193.8704673
01-04-2020,38239014.87337027
02-04-2020,38781806.59384294
03-04-2020,38993298.31847216
04-04-2020,39388156.94993136
05-04-2020,41145145.141097285
06-04-2020,38497135.8721167
07-04-2020,40199018.49580251
08-04-2020,40206735.29729357
09-04-2020,40295347.897372745
10-04-2020,40049589.64827263
11-04-2020,40113148.28388839
12-04-2020,43151778.03764673
13-04-2020,40475643.95086691
14-04-2020,39337289.5291327
15-04-2020,41003002.06835743
16-04-2020,40071164.95792643
17-04-2020,40371269.28263482
18-04-2020,40685232.11550593
19-04-2020,42653712.03130107
20-04-2020,40504936.06201177
21-04-2020,40316923.207026534
22-04-2020,40617027.53173493
23-04-2020,40413252.60859678
24-04-2020,39804998.69251815
25-04-2020,41006072.92169325
26-04-2020,38312296.43199758
27-04-2020,36510254.06153387
28-04-2020,36494820.45855173
29-04-2020,37241387.10216255
30-04-2020,42681405.82239924
01-05-2020,40198690.03063173
02-05-2020,41150198.89072632
03-05-2020,43337887.332641765
04-05-2020,42382140.325865716
05-05-2020,42113231.67229239
06-05-2020,43778944.2115171
07-05-2020,44295514.67418074
08-05-2020,44606406.65371603
09-05-2020,44578281.83591679
10-05-2020,46530999.683559015
11-05-2020,47368818.75388375
12-05-2020,47634985.01929204
