Date,Mobility
15-02-2020,24006511.4916024
16-02-2020,24044432.793175984
17-02-2020,24741084.86152353
18-02-2020,24297169.156199303
19-02-2020,25263207.845137108
20-02-2020,25016724.80840151
21-02-2020,25233709.29656247
22-02-2020,24484459.847354673
23-02-2020,24190255.170044497
24-02-2020,24823180.79095842
25-02-2020,24462738.601071108
26-02-2020,24558523.52065252
27-02-2020,24900400.980107628
28-02-2020,25187169.99355899
29-02-2020,24958069.349684495
01-03-2020,24018822.89574688
02-03-2020,24518042.295505807
03-03-2020,24443186.781498775
04-03-2020,25219228.465706762
05-03-2020,24725080.05466447
06-03-2020,25233709.29656247
07-03-2020,24903752.74438994
08-03-2020,24337455.132915065
09-03-2020,24977621.169256836
10-03-2020,24634366.123799685
11-03-2020,25173871.50027437
12-03-2020,25009484.39297365
13-03-2020,25378349.3358599
14-03-2020,24310467.64948392
15-03-2020,23972283.5927434
16-03-2020,24600138.224940687
17-03-2020,24330019.469056252
18-03-2020,24958861.190393683
19-03-2020,25035886.131111935
20-03-2020,25176637.519263826
21-03-2020,23592886.175561987
22-03-2020,17807148.50478603
23-03-2020,24414881.41748059
24-03-2020,22923818.182923805
25-03-2020,17776332.075624358
26-03-2020,17991938.977783278
27-03-2020,18157313.174224135
28-03-2020,17315570.864302233
29-03-2020,18894386.762303397
30-03-2020,18168637.489228476
31-03-2020,18010503.708215475
01-04-2020,18086541.559793595
02-04-2020,18290032.306238987
03-04-2020,18493523.052684378
04-04-2020,17956919.238215093
05-04-2020,19142052.136610087
06-04-2020,18538489.521254864
07-04-2020,19870882.087935425
08-04-2020,19946919.93951354
09-04-2020,20233493.704533953
10-04-2020,20055612.855517663
11-04-2020,19378257.652896486
12-04-2020,20964313.966325503
13-04-2020,20111111.798383307
14-04-2020,19393725.57289233
15-04-2020,20333167.275260903
16-04-2020,20105053.720526543
17-04-2020,20340212.4422578
18-04-2020,19447055.089046754
19-04-2020,20588013.359580446
20-04-2020,20249693.759823974
21-04-2020,19951990.92823017
22-04-2020,20371283.82526544
23-04-2020,20492483.393844992
24-04-2020,20638305.770713516
25-04-2020,19491229.716908053
26-04-2020,19021253.911877807
27-04-2020,20401769.462980215
28-04-2020,20179909.23453358
29-04-2020,20834751.350162007
30-04-2020,20810128.54187304
01-05-2020,20741135.85729182
02-05-2020,20024872.263956927
03-05-2020,21006319.167475577
04-05-2020,22048650.661837462
05-05-2020,21559573.23951179
06-05-2020,22830945.67233317
07-05-2020,23169129.729073692
08-05-2020,23454716.40495396
09-05-2020,22180187.45628123
10-05-2020,23269730.683525767
11-05-2020,23459982.642101545
12-05-2020,22372353.887722272
13-05-2020,24408834.186609197
14-05-2020,24255576.14588187
15-05-2020,24885404.95635943
16-05-2020,23980131.44743485
17-05-2020,24727406.71836238
18-05-2020,24796263.859927643
19-05-2020,24446950.73661373
20-05-2020,25452093.06469621
21-05-2020,25286523.619824406
22-05-2020,25980274.126166552
23-05-2020,24387112.940325633
24-05-2020,25193238.918401122
25-05-2020,23424230.76723919
26-05-2020,24917853.92536911
27-05-2020,25859269.80601795
28-05-2020,25839522.738014665
29-05-2020,26373957.125772726
30-05-2020,25549597.208711937
31-05-2020,26679231.164241284
01-06-2020,26635311.49022594
02-06-2020,26457430.64120965
03-06-2020,27049728.646975532
04-06-2020,26902528.684104968
05-06-2020,27207667.17955758
06-06-2020,26040052.21703965
07-06-2020,26584823.830661915
08-06-2020,26481066.360358477
09-06-2020,25768751.12358413
10-06-2020,27283900.27956665
11-06-2020,27029981.578972243
12-06-2020,27646511.89616518
13-06-2020,25830308.144306537
14-06-2020,26392462.15078992
15-06-2020,26391534.767064787
16-06-2020,26169674.538618144
17-06-2020,26780146.777954325
18-06-2020,26793445.27123894
19-06-2020,26843677.97695701
20-06-2020,26275406.187201858
21-06-2020,23852228.350290667
22-06-2020,26602265.92893803
23-06-2020,26381392.78963153
24-06-2020,26477177.709212936
25-06-2020,26519974.7510722
26-06-2020,26316288.75619585
27-06-2020,25670796.77729149
28-06-2020,24629452.37206974
29-06-2020,26831366.572812527
30-06-2020,26406015.597920492
01-07-2020,27391606.106430635
02-07-2020,27234459.41455777
03-07-2020,27646316.647734232
04-07-2020,26689628.095520496
05-07-2020,21542668.028098904
06-07-2020,27212738.168274213
07-07-2020,26386463.77834816
08-07-2020,27174816.866700627
09-07-2020,27277451.704847984
10-07-2020,27875612.54003968
11-07-2020,26512929.584075294
12-07-2020,21639440.03682045
13-07-2020,27481137.69972433
14-07-2020,26017598.835461907
15-07-2020,26921093.414537173
16-07-2020,26805756.675383426
17-07-2020,27525117.079154674
18-07-2020,26480079.271218337
19-07-2020,21474065.84037959
20-07-2020,26640187.230511617
21-07-2020,26322737.330914516
22-07-2020,27226231.909989785
23-07-2020,27335120.07442485
24-07-2020,27245588.481131162
25-07-2020,25951507.71288609
26-07-2020,21519227.55738103
27-07-2020,26773698.203235656
28-07-2020,25750186.393151928
29-07-2020,26634129.15265485
30-07-2020,27284887.36870679
31-07-2020,27768893.802315827
01-08-2020,26159532.561184894
02-08-2020,21424820.22380166
03-08-2020,27125571.2501227
04-08-2020,26706278.35308743
05-08-2020,25798640.16902067
06-08-2020,25748212.214871656
07-08-2020,25874678.020598788
08-08-2020,24996001.498243447
09-08-2020,20453455.592301264
10-08-2020,25900483.166458845
11-08-2020,24394743.852615394
12-08-2020,26059799.285042938
13-08-2020,26047487.880898453
14-08-2020,26537747.640795212
15-08-2020,24755576.53936461
16-08-2020,20555298.58973944
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,26488697.272648238
12-09-2020,25287499.861979175
13-09-2020,26212460.733492035
14-09-2020,26007055.514181376
15-09-2020,26114761.34104536
16-09-2020,26121014.667333078
17-09-2020,25585202.69357298
18-09-2020,26493377.764502957
19-09-2020,25990014.759752534
20-09-2020,26566454.34866067
21-09-2020,25998242.264320526
22-09-2020,26145051.73032918
23-09-2020,27048351.06097349
24-09-2020,26411878.427346304
25-09-2020,27646121.399303272
26-09-2020,26034590.73146111
27-09-2020,25815632.065019876
28-09-2020,25965988.5437418
29-09-2020,24954592.889371604
30-09-2020,25758999.643012773
01-10-2020,25482226.21699335
02-10-2020,25302235.646680836
03-10-2020,25303358.278836917
04-10-2020,24804675.765941218
05-10-2020,24737060.667362045
06-10-2020,24960103.233379774
07-10-2020,25938258.07803111
08-10-2020,26637871.413799077
09-10-2020,27495813.779010992
10-10-2020,26172039.213760328
11-10-2020,26882185.02382345
12-10-2020,26706473.60151838
13-10-2020,26465061.55349941
14-10-2020,27864873.970328197
15-10-2020,27762835.724459067
