Date,Mobility
15-02-2020,10825047.222976938
16-02-2020,10651942.461512694
17-02-2020,10571785.77526579
18-02-2020,10396347.357135253
19-02-2020,10541910.360541234
20-02-2020,10440360.567126945
21-02-2020,11288494.932157105
22-02-2020,11436680.564136734
23-02-2020,10892088.918340063
24-02-2020,10529084.341564808
25-02-2020,10048298.264729155
26-02-2020,10260987.74413205
27-02-2020,10437532.823271966
28-02-2020,10753372.844287207
29-02-2020,10897419.880128913
01-03-2020,10670917.131379997
02-03-2020,10392412.952270897
03-03-2020,10472365.447244236
04-03-2020,10658500.418958467
05-03-2020,10299345.466413781
06-03-2020,10872994.837832985
07-03-2020,10943153.248958442
08-03-2020,10698374.108804472
09-03-2020,10814964.167221703
10-03-2020,10628829.195507474
11-03-2020,10563916.965537079
12-03-2020,10506175.26683315
13-03-2020,10715219.31327904
14-03-2020,10751158.598260686
15-03-2020,10364546.668291528
16-03-2020,10355366.082272105
17-03-2020,10355979.580100564
18-03-2020,10337907.379969077
19-03-2020,10155093.315290742
20-03-2020,10105016.235041961
21-03-2020,9800571.04607266
22-03-2020,6739389.666513787
23-03-2020,9944941.68382771
24-03-2020,9741059.037903098
25-03-2020,7230209.572484641
26-03-2020,7273813.475921438
27-03-2020,7302172.923081723
28-03-2020,7091697.689705348
29-03-2020,7483436.390189796
30-03-2020,7436425.875075552
31-03-2020,7406550.460350993
01-04-2020,7162469.598659268
02-04-2020,7235046.447084809
03-04-2020,7297625.020388906
04-04-2020,7240377.4088736605
05-04-2020,7337669.1955102505
06-04-2020,7090999.4112431025
07-04-2020,6989245.426555249
08-04-2020,7015186.436415451
09-04-2020,6991868.055128898
10-04-2020,6921913.835277004
11-04-2020,6972978.165895382
12-04-2020,7161821.470824816
13-04-2020,7087353.978286099
14-04-2020,6940190.226682058
15-04-2020,7173864.430705207
16-04-2020,6734756.983187182
17-04-2020,6924826.359765772
18-04-2020,6882823.204527034
19-04-2020,7033512.978448302
20-04-2020,6910893.679779969
21-04-2020,6896262.72133192
22-04-2020,6834382.426490069
23-04-2020,6845283.1713473275
24-04-2020,6961463.923209664
25-04-2020,6915730.5543801375
26-04-2020,7163422.219022876
27-04-2020,6961463.923209664
28-04-2020,6878190.521200431
29-04-2020,6905443.30735134
30-04-2020,6964291.667064645
01-05-2020,6843971.395056619
02-05-2020,7067238.017403428
03-05-2020,7323411.989603341
04-05-2020,7317382.749352242
05-05-2020,7132763.745202282
06-05-2020,7335454.949483731
07-05-2020,7442250.924053084
08-05-2020,7584168.494502059
09-05-2020,7523190.669396021
10-05-2020,7719000.314318356
11-05-2020,7857018.109908965
12-05-2020,7753254.0704681575
13-05-2020,7955945.274749606
14-05-2020,7933938.66975376
15-05-2020,8168923.726059851
16-05-2020,8221504.024242503
17-05-2020,8296993.39715681
18-05-2020,8338009.302025949
19-05-2020,8224246.987463695
20-05-2020,8280676.909876917
21-05-2020,8231213.327456596
22-05-2020,8444191.778766843
23-05-2020,8338094.082659735
24-05-2020,8295886.7361474335
25-05-2020,7846935.054153733
26-05-2020,8259982.081171777
27-05-2020,8387268.693172705
28-05-2020,8315798.505756539
29-05-2020,8560577.645910509
30-05-2020,8741551.217103466
31-05-2020,8677337.265595319
01-06-2020,8752776.48788183
02-06-2020,8657290.56472463
03-06-2020,8634177.298719408
04-06-2020,8622867.247307256
05-06-2020,8919732.598455196
06-06-2020,8759623.417234952
07-06-2020,8710653.922003318
08-06-2020,8977474.297159124
09-06-2020,8810518.186585758
10-06-2020,8914895.723855028
11-06-2020,8741875.743024573
12-06-2020,8964648.2781827
13-06-2020,8755689.012370598
14-06-2020,8792411.35644828
15-06-2020,8870678.322589772
16-06-2020,8777610.836732656
17-06-2020,8812034.154150032
18-06-2020,8680199.639456289
19-06-2020,8908422.547043042
20-06-2020,8830480.106822658
21-06-2020,8592138.589466915
22-06-2020,8861088.430015456
23-06-2020,8513243.528882923
24-06-2020,8513243.528882923
25-06-2020,8368582.995212754
26-06-2020,7805220.870822348
27-06-2020,8593773.967670966
28-06-2020,8696720.318009749
29-06-2020,8720975.799038105
30-06-2020,8637702.397028869
01-07-2020,8671921.52317268
02-07-2020,8512834.222328028
03-07-2020,8686143.175065834
04-07-2020,8930718.123946242
05-07-2020,6969502.2942059515
06-07-2020,8843016.229883967
07-07-2020,8589754.782172821
08-07-2020,8570575.921031957
09-07-2020,8557954.093329094
10-07-2020,8883588.198192216
11-07-2020,8777490.502085112
12-07-2020,7002205.452785489
13-07-2020,8836254.08116463
14-07-2020,8711795.213018684
15-07-2020,8650119.109450398
16-07-2020,8434601.886192525
17-07-2020,8542300.33049769
18-07-2020,8783843.344249552
19-07-2020,7048841.29135083
20-07-2020,8681510.49173923
21-07-2020,8392309.759046437
22-07-2020,8507588.041172963
23-07-2020,8456608.491188372
24-07-2020,8703806.068642426
25-07-2020,8585495.851387357
26-07-2020,7062569.780063068
27-07-2020,8826459.99731675
28-07-2020,8628112.504454553
29-07-2020,8486893.212467825
30-07-2020,8772159.540296262
31-07-2020,8786790.49874431
01-08-2020,8799412.32644717
02-08-2020,6872500.40348448
03-08-2020,8730974.07415955
04-08-2020,8176299.372607647
05-08-2020,7414386.488089247
06-08-2020,7241980.005087253
07-08-2020,7757683.486528963
08-08-2020,7846407.260966826
09-08-2020,6559778.022239336
10-08-2020,8471649.680199081
11-08-2020,8041842.229340256
12-08-2020,8574715.441177644
13-08-2020,8541398.784769643
14-08-2020,8805356.786064483
15-08-2020,8497181.383504387
16-08-2020,6829390.587236367
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,6711898.059083321
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,6692719.197942456
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,8730565.691612419
12-09-2020,8641024.228072532
13-09-2020,8586399.245130934
14-09-2020,8839286.94030094
15-09-2020,8744907.678153116
16-09-2020,8972841.613832522
17-09-2020,8849489.40669595
18-09-2020,9173198.237439906
19-09-2020,8905390.611914497
20-09-2020,8671392.805978006
