Date,Mobility
15-02-2020,28236696.258425225
16-02-2020,28384724.53923306
17-02-2020,29110882.84547975
18-02-2020,28896144.039205793
19-02-2020,29197389.647396553
20-02-2020,29349982.842696372
21-02-2020,28444541.510758042
22-02-2020,27835156.740435373
23-02-2020,27987749.93573519
24-02-2020,28544927.78496346
25-02-2020,28584688.226748127
26-02-2020,28679700.725565795
27-02-2020,29030021.33333785
28-02-2020,28712296.099022165
29-02-2020,29187179.44312966
01-03-2020,28395558.87558307
02-03-2020,28593910.420138426
03-03-2020,28716236.881431032
04-03-2020,29131927.386096664
05-03-2020,29282191.94194732
06-03-2020,28803367.815430954
07-03-2020,30034323.582096394
08-03-2020,28566867.97205065
09-03-2020,27995007.36846982
10-03-2020,29597588.53681386
11-03-2020,29159241.348571602
12-03-2020,29044796.452096738
13-03-2020,29097719.869680576
14-03-2020,28342011.32591612
15-03-2020,28172938.504491374
16-03-2020,28451527.42910551
17-03-2020,28057869.475933395
18-03-2020,28683109.74029788
19-03-2020,28841972.357455727
20-03-2020,29074802.932814322
21-03-2020,29355004.000388175
22-03-2020,20749187.33220451
23-03-2020,28395390.98669977
24-03-2020,27188443.79328105
25-03-2020,20229989.892917894
26-03-2020,20138918.1765091
27-03-2020,20215214.77415901
28-03-2020,20145811.730450243
29-03-2020,21934113.23522726
30-03-2020,20398074.70346604
31-03-2020,20624635.85696661
01-04-2020,20603591.316349696
02-04-2020,20658843.37338269
03-04-2020,20953819.559715427
04-04-2020,21054113.469514523
05-04-2020,22624359.51769182
06-04-2020,20599650.533940826
07-04-2020,21523715.402640592
08-04-2020,21699681.77800648
09-04-2020,21394495.38740684
10-04-2020,21328408.994023833
11-04-2020,21375779.486239087
12-04-2020,22345862.95748401
13-04-2020,21920690.00613846
14-04-2020,20679263.781916495
15-04-2020,22257755.273705024
16-04-2020,21059758.759289436
17-04-2020,21609234.193680797
18-04-2020,21372462.835913323
19-04-2020,22783222.134849668
20-04-2020,21650335.264038023
21-04-2020,21620068.530030813
22-04-2020,22003880.15772951
23-04-2020,21764156.02842977
24-04-2020,21906539.019462686
25-04-2020,21389566.594121367
26-04-2020,23222285.819581367
27-04-2020,21586577.510104164
28-04-2020,21584248.87065501
29-04-2020,22152532.570620455
30-04-2020,21858180.516370837
01-05-2020,21462910.420239005
02-05-2020,22090023.080852833
03-05-2020,23670479.333297033
04-05-2020,23373538.386308625
05-05-2020,23356434.628100585
06-05-2020,24128622.797989976
07-05-2020,24673533.317889348
08-05-2020,24652488.77727244
09-05-2020,24606458.913629737
10-05-2020,26082680.473865975
11-05-2020,25359214.685861927
12-05-2020,25269755.112412848
13-05-2020,25904125.205761302
14-05-2020,25795949.731144466
15-05-2020,25709442.929227658
16-05-2020,26295454.519484263
17-05-2020,27005757.331689134
18-05-2020,25788599.93400351
19-05-2020,25995821.05425321
20-05-2020,26532225.87725173
21-05-2020,26265187.785477053
22-05-2020,26261247.003068175
23-05-2020,26493089.56755017
24-05-2020,27394133.873879824
25-05-2020,25015163.499947894
26-05-2020,26574939.090568673
27-05-2020,26908063.57572636
28-05-2020,26600640.9100839
29-05-2020,27052775.206208438
30-05-2020,27827916.14763009
31-05-2020,28741499.2976758
01-06-2020,27364855.15074921
02-06-2020,27313543.876125086
03-06-2020,27644339.72183362
04-06-2020,28030479.98898148
05-06-2020,27441151.748399124
06-06-2020,28008447.43748797
07-06-2020,28656604.638718706
08-06-2020,27895614.683972817
09-06-2020,27822634.736648664
10-06-2020,28144924.885456342
11-06-2020,28127821.127248302
12-06-2020,28232055.819456268
13-06-2020,28147877.65698861
14-06-2020,29057520.02462545
15-06-2020,28054477.301130664
16-06-2020,28000837.387057386
17-06-2020,27954183.391331572
18-06-2020,27977556.571397644
19-06-2020,27818693.954239793
20-06-2020,28500434.5398035
21-06-2020,28400493.247700363
22-06-2020,27926869.42885663
23-06-2020,27629564.603074737
24-06-2020,27519060.489008747
25-06-2020,27568135.48859004
26-06-2020,25797197.995310694
27-06-2020,27948630.465962984
28-06-2020,28389658.911350347
29-06-2020,27674698.82024716
30-06-2020,27811800.40029865
01-07-2020,27627328.32803191
02-07-2020,27561241.934648894
03-07-2020,27705953.56513097
04-07-2020,28080179.120645892
05-07-2020,22814205.365346324
06-07-2020,27553984.501914274
07-07-2020,27196862.704607397
08-07-2020,27589180.029206954
09-07-2020,27519152.853415076
10-07-2020,27093252.144482546
11-07-2020,27411601.510881353
12-07-2020,22687221.6251554
13-07-2020,27693414.72141492
14-07-2020,26664398.664017748
15-07-2020,26609146.606984753
16-07-2020,26916661.637033544
17-07-2020,26933765.395241585
18-07-2020,27301721.528898474
19-07-2020,22784562.76342222
20-07-2020,26611475.24643391
21-07-2020,26723591.503459617
22-07-2020,27825951.386974424
23-07-2020,28159075.872132115
24-07-2020,25595622.16483591
25-07-2020,25740333.795317985
26-07-2020,22602326.96619831
27-07-2020,26306288.855834275
28-07-2020,26434884.73898491
29-07-2020,26413840.198367998
30-07-2020,27512259.29947393
31-07-2020,27308978.9616331
01-08-2020,27033342.808551237
02-08-2020,22648980.96192412
03-08-2020,28104447.947182234
04-08-2020,27830516.301466413
05-08-2020,27019191.821875468
06-08-2020,27239575.917924337
07-08-2020,26829074.45983381
08-08-2020,26649167.30205905
09-08-2020,22336537.138589855
10-08-2020,27106946.887958508
11-08-2020,26250944.434394952
12-08-2020,27131932.210984286
13-08-2020,27768006.811698783
14-08-2020,27488429.87620805
15-08-2020,26737286.246935576
16-08-2020,22499964.670239687
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,28054384.93672434
12-09-2020,28114201.908249322
13-09-2020,27999393.132980965
14-09-2020,28353926.037549056
15-09-2020,28157995.496849183
16-09-2020,28609505.660890613
17-09-2020,28045879.23982348
18-09-2020,28069252.41988955
19-09-2020,28967343.95468693
20-09-2020,28879225.009810403
21-09-2020,28737830.029654082
22-09-2020,28571449.726471987
23-09-2020,28573154.23383803
24-09-2020,28570917.9587952
25-09-2020,27949710.84124591
26-09-2020,29244060.48305172
27-09-2020,28369602.381610036
28-09-2020,28315338.335453644
29-09-2020,27879591.3010477
30-09-2020,27578877.460533727
01-10-2020,26618808.203645516
02-10-2020,25252998.393068943
03-10-2020,27531050.72511866
04-10-2020,26314870.077212106
05-10-2020,27295891.510310907
06-10-2020,27102197.244653866
07-10-2020,27946117.097701177
08-10-2020,28355006.412831984
09-10-2020,28853262.937005553
10-10-2020,29279787.778021187
11-10-2020,28617739.843404308
12-10-2020,29366918.712021112
13-10-2020,29194268.986980982
14-10-2020,30091112.25761213
15-10-2020,30311496.353661004
16-10-2020,30144128.0396023
17-10-2020,31096847.499349557
18-10-2020,30328143.868669234
19-10-2020,30530175.942343827
20-10-2020,29764257.19431247
21-10-2020,29995383.262305025
22-10-2020,29959471.238522902
23-10-2020,29904843.31357302
24-10-2020,30655986.942845497
25-10-2020,31019730.779706355
26-10-2020,27426463.415214747
27-10-2020,29616044.184691988
28-10-2020,29965648.2959746
29-10-2020,29335843.11711814
30-10-2020,28395662.50108693
31-10-2020,29717054.59098052
01-11-2020,29140889.32619733
02-11-2020,29229008.271073855
03-11-2020,29243159.257749625
04-11-2020,29493093.591316268
05-11-2020,29064956.60734091
06-11-2020,28727891.339774348
07-11-2020,30387336.7081111
08-11-2020,30040685.368360754
09-11-2020,30142955.299913045
10-11-2020,30449129.701389283
11-11-2020,31076606.240796596
12-11-2020,31314001.730647184
13-11-2020,32322608.640608083
14-11-2020,21138546.30643998
15-11-2020,26112317.496958252
16-11-2020,27700487.425336894
17-11-2020,28232951.465926543
18-11-2020,29562496.635025036
19-11-2020,30196242.59629038
20-11-2020,29861413.603766643
21-11-2020,30465245.448720723
22-11-2020,29204022.948048066
23-11-2020,29942991.612397976
24-11-2020,28143491.892477464
25-11-2020,24950689.249524605
26-11-2020,27405511.239004154
27-11-2020,29001106.48900073
28-11-2020,29385634.613188874
29-11-2020,29172860.567570582
30-11-2020,29514854.62842262
01-12-2020,29467484.136207364
02-12-2020,28004778.169466257
03-12-2020,23354822.48514087
04-12-2020,27807143.12140034
05-12-2020,29952306.170194604
06-12-2020,29405691.14292918
07-12-2020,28944958.78549746
08-12-2020,26789585.5324363
09-12-2020,30415014.549379524
10-12-2020,30764618.660662144
11-12-2020,30864288.438378125
12-12-2020,30741961.977085516
13-12-2020,30804731.720142767
14-12-2020,30746526.8915775
15-12-2020,30864288.438378125
16-12-2020,29941928.0770444
17-12-2020,29763725.426635686
18-12-2020,30391826.098126106
19-12-2020,31258038.755956564
20-12-2020,30989296.156815834
21-12-2020,30931091.328250572
22-12-2020,30512448.052052673
23-12-2020,31004435.15436821
24-12-2020,31286248.36490178
25-12-2020,30422635.86090764
26-12-2020,31104729.064167306
27-12-2020,30917564.473657914
28-12-2020,31382601.492291998
29-12-2020,31192848.009043828
30-12-2020,31212280.406701025
31-12-2020,31059063.079318095
