Date,Mobility
15-02-2020,55807650.573923014
16-02-2020,54368999.98021185
17-02-2020,55476203.05690856
18-02-2020,55533588.716939926
19-02-2020,55750264.91389165
20-02-2020,55715961.0001067
21-02-2020,56258473.630303614
22-02-2020,55852066.85625828
23-02-2020,54108914.365390755
24-02-2020,55947353.7849121
25-02-2020,56139098.09093749
26-02-2020,55196796.6349304
27-02-2020,55504895.886924244
28-02-2020,56573190.83053261
29-02-2020,57029624.97068247
01-03-2020,55682663.95078762
02-03-2020,55968688.32100094
03-03-2020,56229780.80028792
04-03-2020,56040050.223194316
05-03-2020,55943756.4300746
06-03-2020,56730631.22277304
07-03-2020,57397123.61163946
08-03-2020,55662336.27916468
09-03-2020,56026073.98103231
10-03-2020,56125121.84877548
11-03-2020,56370490.87574289
12-03-2020,55865036.23395439
13-03-2020,56125121.84877548
14-03-2020,55269639.22850714
15-03-2020,54389327.651834816
16-03-2020,56095422.15429391
17-03-2020,55439042.13397779
18-03-2020,55383403.68410399
19-03-2020,55468475.309685156
20-03-2020,55603574.30137085
21-03-2020,54879696.25247305
22-03-2020,39109110.65732858
23-03-2020,55300716.67984972
24-03-2020,52032732.17070161
25-03-2020,38156861.8561216
26-03-2020,38290953.98334141
27-03-2020,38572374.13425135
28-03-2020,37804079.803018294
29-03-2020,41101126.59547865
30-03-2020,39189846.02147912
31-03-2020,39477884.120624214
01-04-2020,39308481.21515357
02-04-2020,39498211.79224717
03-04-2020,39962004.22632387
04-04-2020,39628809.49915184
05-04-2020,41393768.91392712
06-04-2020,39886038.10482712
07-04-2020,42008918.26865605
08-04-2020,42198648.84574966
09-04-2020,41967996.40663594
10-04-2020,41751320.20968422
11-04-2020,41459787.69022399
12-04-2020,43659846.70906029
13-04-2020,42199389.19144134
14-04-2020,41631944.6703181
15-04-2020,43175254.215541705
16-04-2020,42367044.88675443
17-04-2020,42978905.69021294
18-04-2020,42033850.1595824
19-04-2020,43918185.113723814
20-04-2020,43237244.09487646
21-04-2020,43420623.24250912
22-04-2020,42920779.68448989
23-04-2020,42872499.52854293
24-04-2020,43294629.75490784
25-04-2020,38854534.63085296
26-04-2020,40913883.57423429
27-04-2020,39924576.78461889
28-04-2020,40254277.091475785
29-04-2020,43702043.39341906
30-04-2020,43933436.17822445
01-05-2020,42691874.455533735
02-05-2020,43290128.47012681
03-05-2020,45041111.642740086
04-05-2020,46556262.83459499
05-05-2020,46606290.20069951
06-05-2020,47034031.51083368
07-05-2020,47070082.63477621
08-05-2020,47364472.163382255
09-05-2020,46385112.71896676
10-05-2020,47778709.619173355
11-05-2020,49371574.142682575
12-05-2020,49315195.34711709
13-05-2020,49672581.619523786
14-05-2020,49728960.415089265
15-05-2020,50557497.41549949
16-05-2020,50673378.53455047
17-05-2020,50067231.7493836
18-05-2020,51538973.52336913
19-05-2020,51666714.22112798
20-05-2020,52094455.53126216
21-05-2020,51687041.89275094
22-05-2020,51687041.89275094
23-05-2020,51950991.38118373
24-05-2020,52364119.037986584
25-05-2020,50720548.89150919
26-05-2020,52803616.99230626
27-05-2020,53301713.340167925
28-05-2020,52690592.882401094
29-05-2020,54061642.513008244
30-05-2020,53796048.74894024
31-05-2020,53844431.83940955
01-06-2020,54227550.99816376
02-06-2020,54172919.41275584
03-06-2020,54502619.71961273
04-06-2020,54242267.58601744
05-06-2020,54958787.34098839
06-06-2020,55087637.83773548
07-06-2020,55523847.24078475
08-06-2020,55238460.281740755
09-06-2020,54972763.58315039
10-06-2020,55176470.40240601
11-06-2020,55577266.092682056
12-06-2020,55725334.462063864
13-06-2020,55251429.65943687
14-06-2020,55895950.101045124
15-06-2020,55456883.68885004
16-06-2020,55155135.86631716
17-06-2020,55225490.904044636
18-06-2020,54325592.00144103
19-06-2020,55141159.62415516
20-06-2020,55199655.08317477
21-06-2020,53556393.74026445
22-06-2020,54993091.25477335
23-06-2020,55071811.45089355
24-06-2020,52877835.90364545
25-06-2020,52364756.449155904
26-06-2020,52687838.807777636
27-06-2020,52383336.91062129
