Date,Mobility
15-02-2020,18678373.90383301
16-02-2020,18062221.077237822
17-02-2020,18320846.618175864
18-02-2020,18283654.66675754
19-02-2020,18252947.727073975
20-02-2020,18688942.43015254
21-02-2020,17958145.628366437
22-02-2020,17665080.995830745
23-02-2020,18049934.43192807
24-02-2020,18459693.174133964
25-02-2020,18700877.7127916
26-02-2020,18396893.19126568
27-02-2020,18326648.25175086
28-02-2020,18193251.96669706
29-02-2020,18345751.924284436
01-03-2020,17911771.254129734
02-03-2020,18296624.690227054
03-03-2020,18203820.493016597
04-03-2020,18646983.58598968
05-03-2020,18724064.89990995
06-03-2020,18518354.19368042
07-03-2020,18550779.2523542
08-03-2020,18038682.527448773
09-03-2020,18283654.66675754
10-03-2020,18283654.66675754
11-03-2020,18138323.099064685
12-03-2020,18192568.5885373
13-03-2020,17932261.03016446
14-03-2020,17650799.664778758
15-03-2020,17366621.541127805
16-03-2020,17872233.254298482
17-03-2020,17675704.970887333
18-03-2020,17766459.033618502
19-03-2020,18075210.44788896
20-03-2020,18280237.775958728
21-03-2020,18254649.0916904
22-03-2020,12886845.262240808
23-03-2020,18664703.747829933
24-03-2020,17840087.35518454
25-03-2020,13271626.495227283
26-03-2020,13423794.43732559
27-03-2020,13296883.164006548
28-03-2020,13116077.76388559
29-03-2020,13700173.648851482
30-03-2020,13285631.259527255
31-03-2020,13618936.61723559
01-04-2020,13382518.971322488
02-04-2020,13418344.166421289
03-04-2020,13364098.676948676
04-04-2020,13518316.753526269
05-04-2020,13822318.029425986
06-04-2020,13163154.863463683
07-04-2020,13085370.824202023
08-04-2020,13249474.048939388
09-04-2020,13430630.811731039
10-04-2020,13223201.98651129
11-04-2020,13450769.225095075
12-04-2020,14107530.893907396
13-04-2020,13571878.86483912
14-04-2020,13212282.097521061
15-04-2020,13567443.987583648
16-04-2020,13396523.73562246
17-04-2020,13475674.531203646
18-04-2020,13520034.872516489
19-04-2020,14000758.033952389
20-04-2020,13507064.849046974
21-04-2020,13615887.843481269
22-04-2020,13452819.35957436
23-04-2020,13736665.467736246
24-04-2020,13585532.266468396
25-04-2020,13508099.589877432
26-04-2020,13939695.51725595
27-04-2020,13512866.48262197
28-04-2020,13530603.398836022
29-04-2020,13738715.602215534
30-04-2020,13719611.929681957
01-05-2020,13566077.231264126
02-05-2020,13789560.955263132
03-05-2020,14572550.519234734
04-05-2020,14225555.658341698
05-05-2020,14084990.983393382
06-05-2020,14328928.381871693
07-05-2020,14316641.73656194
08-05-2020,14754354.558630727
09-05-2020,14452439.51876572
10-05-2020,15351771.829736829
11-05-2020,15782963.538515432
12-05-2020,15697327.731199488
13-05-2020,15966853.813946135
14-05-2020,15892821.273780182
15-05-2020,16069543.159316367
16-05-2020,16212157.96874397
17-05-2020,16666609.067751775
18-05-2020,16648152.671822537
19-05-2020,16421952.189558277
20-05-2020,16453342.507401604
21-05-2020,16544096.570132783
22-05-2020,16872635.035096575
23-05-2020,16595625.301340144
24-05-2020,16934417.0315082
25-05-2020,15910206.82732354
26-05-2020,16860348.389786825
27-05-2020,17012848.3473742
28-05-2020,16587090.155126097
29-05-2020,17201173.500060372
30-05-2020,17326402.75594462
31-05-2020,17658709.47437792
01-06-2020,17573037.565506555
02-06-2020,17589739.74089015
03-06-2020,17511955.70162849
04-06-2020,17687662.19351584
05-06-2020,17785233.28347084
06-06-2020,17952421.38351795
07-06-2020,18041142.066143636
08-06-2020,17950703.26452773
09-06-2020,17961271.790847264
10-06-2020,17992662.108690593
11-06-2020,18118890.003849868
12-06-2020,18209976.082070112
13-06-2020,17841880.270093437
14-06-2020,18302816.380835995
15-06-2020,17932282.970153917
16-06-2020,18228396.376443926
17-06-2020,17985493.71879607
18-06-2020,17810489.952250108
19-06-2020,17937401.22556915
20-06-2020,17971876.41872222
21-06-2020,17797907.393006712
22-06-2020,17803321.56235559
23-06-2020,17977641.95074179
24-06-2020,17740872.942158
25-06-2020,15577604.194956595
26-06-2020,15396447.432164943
27-06-2020,15671775.148486583
28-06-2020,16005116.60775034
29-06-2020,15906826.038080154
30-06-2020,16106735.11073469
01-07-2020,16120388.512363968
02-07-2020,16227844.750478735
03-07-2020,16221711.101414673
04-07-2020,16730056.327224396
05-07-2020,14361057.526611833
06-07-2020,16617797.094809663
07-07-2020,16829309.434614193
08-07-2020,16266403.458216583
09-07-2020,16204657.563360384
10-07-2020,16174634.001836581
11-07-2020,16236731.259363472
12-07-2020,14659572.430051828
13-07-2020,15821873.608923972
14-07-2020,15553714.282496853
15-07-2020,15536660.744442564
16-07-2020,15267486.024366615
17-07-2020,15627414.807173738
18-07-2020,15848497.034022765
19-07-2020,14428605.05504303
20-07-2020,15742039.435183026
21-07-2020,15723267.778138518
22-07-2020,15857347.441352079
23-07-2020,16032702.570568739
24-07-2020,16537962.921068719
25-07-2020,16630767.118279176
26-07-2020,14470563.89920589
27-07-2020,16884921.68040633
28-07-2020,16622563.987554202
29-07-2020,16629048.99928896
30-07-2020,16707516.416710384
31-07-2020,16817022.78930444
01-08-2020,16842611.473572772
02-08-2020,14318395.957107581
03-08-2020,17109052.681009673
04-08-2020,16908108.86752468
05-08-2020,16285507.13075016
06-08-2020,16078429.668201106
07-08-2020,16523642.895653477
08-08-2020,16293710.261475137
09-08-2020,14035252.574287085
10-08-2020,17008081.454629663
11-08-2020,16288555.904504478
12-08-2020,16559800.106241345
13-08-2020,16559116.728081582
14-08-2020,16802702.763889197
15-08-2020,16480649.310660157
16-08-2020,14012046.03998711
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,
01-09-2020,
