Date,Mobility
15-02-2020,25201035.821956348
16-02-2020,24627956.52874845
17-02-2020,25035847.49629865
18-02-2020,25029417.00292221
19-02-2020,25286084.264015898
20-02-2020,25279061.270313967
21-02-2020,25128766.998447027
22-02-2020,24871762.80308926
23-02-2020,24825471.51914711
24-02-2020,25239456.04580967
25-02-2020,25016300.450107913
26-02-2020,25056835.109201774
27-02-2020,25390935.318327595
28-02-2020,25239456.04580967
29-02-2020,25753383.06832254
01-03-2020,24871507.237027846
02-03-2020,25035847.49629865
03-03-2020,24330673.240358245
04-03-2020,25293107.257717825
05-03-2020,25043126.056061987
06-03-2020,24773086.67609259
07-03-2020,25141627.985199906
08-03-2020,24476477.25623053
09-03-2020,24660620.127753478
10-03-2020,24752947.12957637
11-03-2020,24970009.16616576
12-03-2020,24851112.12445021
13-03-2020,24699632.851932287
14-03-2020,24633457.58753533
15-03-2020,24435942.59713667
16-03-2020,24699040.3516068
17-03-2020,24205764.007732984
18-03-2020,24764797.31353703
19-03-2020,24875741.926961087
20-03-2020,24506608.11752829
21-03-2020,24750158.825807687
22-03-2020,18049816.053011075
23-03-2020,24117590.327640682
24-03-2020,22735415.15877025
25-03-2020,17316468.454060305
26-03-2020,17380784.84927814
27-03-2020,17288120.913191177
28-03-2020,17499089.390668202
29-03-2020,19009043.46413524
30-03-2020,17696604.381066862
31-03-2020,17835896.53536005
01-04-2020,17677394.2691402
02-04-2020,17959957.701598406
03-04-2020,18052029.13735988
04-04-2020,18341952.497784086
05-04-2020,19608355.862971727
06-04-2020,18071494.815347955
07-04-2020,19218501.46815066
08-04-2020,19132860.525765624
09-04-2020,19348656.193501383
10-04-2020,18959382.837552357
11-04-2020,19381319.792506408
12-04-2020,20858354.700907007
13-04-2020,19315144.52810945
14-04-2020,18947195.719327625
15-04-2020,19619369.44199893
16-04-2020,19118558.972300354
17-04-2020,19012185.983073607
18-04-2020,19197258.289186116
19-04-2020,20522476.99080472
20-04-2020,19032325.529589828
21-04-2020,19046627.0830551
22-04-2020,19059743.635869395
23-04-2020,19203607.414359897
24-04-2020,19117966.471974865
25-04-2020,19111280.41253701
26-04-2020,19039511.259697072
27-04-2020,18794868.3804228
28-04-2020,18841496.598629028
29-04-2020,19164931.624445163
30-04-2020,19164002.1898556
01-05-2020,18755518.72197992
02-05-2020,19474065.096796032
03-05-2020,19942119.137833476
04-05-2020,20574187.965331092
05-05-2020,20449789.86482866
06-05-2020,21062218.816479445
07-05-2020,21457248.797276765
08-05-2020,21259141.306552615
09-05-2020,21503028.949096084
10-05-2020,22642919.77854076
11-05-2020,21806324.428396
12-05-2020,21629204.55057498
13-05-2020,22044711.01215259
14-05-2020,22148632.63187473
15-05-2020,22319658.950583383
16-05-2020,22814120.29510817
17-05-2020,23045309.687304083
18-05-2020,22287669.2201065
19-05-2020,22288261.72043199
20-05-2020,23058856.00403855
21-05-2020,23117671.340469502
22-05-2020,23031437.897758983
23-05-2020,23446944.359336596
24-05-2020,24146025.056164633
25-05-2020,21952302.64212705
26-05-2020,22993947.10849522
27-05-2020,23579806.020253345
28-05-2020,23374675.535827268
29-05-2020,23433827.8065223
30-05-2020,24566614.27406239
31-05-2020,25159914.481989175
01-06-2020,24389749.962302785
02-06-2020,24166594.366601028
03-06-2020,24668334.270889163
04-06-2020,24633893.17090767
05-06-2020,24772000.32454988
06-06-2020,25608177.37222791
07-06-2020,25779877.55946471
08-06-2020,24995748.420577124
09-06-2020,24811605.54905418
10-06-2020,25226775.076367717
11-06-2020,25186832.91759935
12-06-2020,25068272.810147867
13-06-2020,25476163.77769807
14-06-2020,26108813.644067727
15-06-2020,24962829.255510684
16-06-2020,24989317.92720069
17-06-2020,25141134.13398268
18-06-2020,24896653.991113726
19-06-2020,24685429.947575282
20-06-2020,25555455.59490932
