Date,Mobility
15-02-2020,38822878.51927617
16-02-2020,38976126.7205738
17-02-2020,39137547.73284877
18-02-2020,39154645.45500582
19-02-2020,39247083.661779836
20-02-2020,38881121.281736076
21-02-2020,39564024.14897974
22-02-2020,38859641.19565398
23-02-2020,38769246.191624306
24-02-2020,39533915.110154316
25-02-2020,39658505.558498085
26-02-2020,39096106.73410953
27-02-2020,38937320.84145165
28-02-2020,39475672.347694404
29-02-2020,39617656.47663161
01-03-2020,39141862.20922043
02-03-2020,39204191.37716902
03-03-2020,39501466.91014817
04-03-2020,39882483.80960464
05-03-2020,38986570.80517847
06-03-2020,39167656.77167419
07-03-2020,39714705.11821366
08-03-2020,39116067.64676666
09-03-2020,39327034.581204824
10-03-2020,39176353.61197091
11-03-2020,39615613.27388727
12-03-2020,38872424.44143937
13-03-2020,39225899.534134105
14-03-2020,38659710.26269324
15-03-2020,38765455.74457201
16-03-2020,39366136.418763354
17-03-2020,38522336.56856409
18-03-2020,38998654.865294635
19-03-2020,38639346.12280327
20-03-2020,38743048.40193769
21-03-2020,38708556.99918722
22-03-2020,26385923.360032137
23-03-2020,38162852.66972287
24-03-2020,31778659.29207575
25-03-2020,24658119.40917303
26-03-2020,24621880.762114592
27-03-2020,24869610.372930564
28-03-2020,24815454.01595933
29-03-2020,26651570.68076091
30-03-2020,25343361.43759741
31-03-2020,25323400.52494027
01-04-2020,25372946.447103467
02-04-2020,25405394.647109613
03-04-2020,25752216.10225197
04-04-2020,25493222.41907558
05-04-2020,27088263.11061357
06-04-2020,25914161.143846307
07-04-2020,26828919.114737473
08-04-2020,26984210.518779434
09-04-2020,26947971.871720996
10-04-2020,26971723.231430426
11-04-2020,26818475.0301328
12-04-2020,28613742.613067903
13-04-2020,27452127.933649644
14-04-2020,26500015.369507913
15-04-2020,27778988.476134874
16-04-2020,28106669.006375838
17-04-2020,28509690.021233767
18-04-2020,28052512.649404608
19-04-2020,29053002.27498427
20-04-2020,28487981.864268675
21-04-2020,28392680.46699458
22-04-2020,28584210.51809498
23-04-2020,28505079.586425725
24-04-2020,29069225.655122247
25-04-2020,29389432.560055085
26-04-2020,27501324.98284333
27-04-2020,26893412.28751692
28-04-2020,26972543.219186172
29-04-2020,28746155.559689317
30-04-2020,28890182.891370855
01-05-2020,28701220.072334167
02-05-2020,28786480.612236425
03-05-2020,30017602.12647501
04-05-2020,30317269.73516803
05-05-2020,30358118.8170345
06-05-2020,31925146.587024536
07-05-2020,32267357.60735885
08-05-2020,32863951.876061514
09-05-2020,32338087.65716777
10-05-2020,32844462.078190614
11-05-2020,33774395.37058102
12-05-2020,34058363.62845543
13-05-2020,34294829.166910976
14-05-2020,34258590.51985254
15-05-2020,35077119.83691741
16-05-2020,34929705.28541641
17-05-2020,34277906.60110378
18-05-2020,35625391.398445465
19-05-2020,35444305.43194974
20-05-2020,35810267.81199348
21-05-2020,35427207.70979269
22-05-2020,36338175.233631566
23-05-2020,36128727.47261837
24-05-2020,35897047.52532071
25-05-2020,35274483.53781443
26-05-2020,36468895.29020835
27-05-2020,36610879.41914555
28-05-2020,35863900.139645346
29-05-2020,37065489.558911
30-05-2020,37435538.34444342
31-05-2020,37328744.803925924
01-06-2020,37698322.47467211
02-06-2020,37846960.24116169
03-06-2020,38313761.709839776
04-06-2020,37625025.19279948
05-06-2020,38269122.180921
06-06-2020,38184560.82668796
07-06-2020,38355901.89424824
08-06-2020,38568440.9166445
09-06-2020,38163376.699042246
10-06-2020,38527295.87634164
11-06-2020,38088036.21442528
12-06-2020,38788332.76226237
13-06-2020,38555133.641539745
14-06-2020,38760966.1118505
15-06-2020,38617986.838807695
16-06-2020,38684630.483127944
17-06-2020,38628430.92341237
18-06-2020,37898549.36606921
19-06-2020,38226229.89631019
20-06-2020,38507630.922120884
21-06-2020,37430699.8387524
22-06-2020,38674186.39852326
23-06-2020,38342419.462793626
24-06-2020,37691668.83711973
25-06-2020,37465943.341705225
26-06-2020,37687878.390067436
27-06-2020,38131224.45747247
28-06-2020,38098024.15726397
29-06-2020,38566693.67233655
30-06-2020,37758608.43987635
01-07-2020,38105429.89501871
02-07-2020,37565035.18603162
03-07-2020,37778569.35253349
04-07-2020,39681678.53462482
05-07-2020,28374709.842548653
06-07-2020,38609585.95694736
07-07-2020,38105429.89501871
08-07-2020,38199911.30453705
09-07-2020,37549980.666618906
10-07-2020,38243623.57690362
11-07-2020,39757019.01924178
12-07-2020,28809359.06965697
13-07-2020,39050888.82160807
14-07-2020,38206564.94208943
15-07-2020,38622073.24429637
16-07-2020,37917986.249406986
17-07-2020,38420099.108591296
18-07-2020,39537127.17362393
19-07-2020,28693169.503173538
20-07-2020,38198164.0602291
21-07-2020,38383040.473777115
22-07-2020,38326840.91406155
23-07-2020,37174797.41695908
24-07-2020,38786061.48863504
25-07-2020,39815261.78170169
26-07-2020,28617829.018556576
27-07-2020,39059585.661904775
28-07-2020,38462991.39320211
29-07-2020,38803159.210792094
30-07-2020,38314353.62671253
31-07-2020,39050888.82160807
01-08-2020,39672981.69432811
02-08-2020,28272754.807722177
03-08-2020,38417235.91809121
04-08-2020,38003770.81862862
05-08-2020,36213463.98320126
06-08-2020,35856198.443454236
07-08-2020,36958696.01839351
08-08-2020,37884194.03232572
09-08-2020,27828360.6816784
10-08-2020,37796366.26035976
11-08-2020,36708923.2048332
12-08-2020,37318004.760884866
13-08-2020,36885398.73652088
14-08-2020,37813463.9825168
15-08-2020,35949388.7504306
16-08-2020,27727225.634607676
17-08-2020,37535329.37443903
18-08-2020,37287599.763623066
19-08-2020,37733513.0630918
20-08-2020,37242664.27626791
21-08-2020,37970502.63086673
22-08-2020,37281470.155390054
23-08-2020,28534490.879312124
24-08-2020,37574135.25356117
25-08-2020,37335102.48304191
26-08-2020,37806810.34496443
27-08-2020,37539939.80924708
28-08-2020,37778972.57976633
29-08-2020,38754016.51586174
30-08-2020,29042437.388293073
31-08-2020,37223227.39293014
01-09-2020,37233967.43597119
02-09-2020,37016642.82241703
03-09-2020,36676475.00482705
04-09-2020,37247274.71107595
05-09-2020,38000383.59880917
06-09-2020,35971339.95129893
07-09-2020,37606583.45356732
08-09-2020,37580788.89111355
09-09-2020,37481697.046787165
10-09-2020,37264372.433233
11-09-2020,37686534.372992314
12-09-2020,37352200.20519897
13-09-2020,37407351.706275806
14-09-2020,37531242.96895036
15-09-2020,37636988.45082912
16-09-2020,37951361.70596534
17-09-2020,37277679.708337754
18-09-2020,38154451.78786253
19-09-2020,37970798.589303106
20-09-2020,38579652.07447179
21-09-2020,38520414.16790628
22-09-2020,39112922.03112026
23-09-2020,40414423.28246806
24-09-2020,39660790.365415476
25-09-2020,39964719.53594702
26-09-2020,40543396.09473689
27-09-2020,40605201.2333661
28-09-2020,40380227.838153966
29-09-2020,39436812.114308946
30-09-2020,39104225.19082355
01-10-2020,37149930.11105752
02-10-2020,35473594.48301942
03-10-2020,37065368.75682447
04-10-2020,37318703.94655409
05-10-2020,37194865.59841267
06-10-2020,37541687.053555034
07-10-2020,38782378.31037921
08-10-2020,39306495.284965
09-10-2020,40082132.31741905
10-10-2020,39383878.9723263
11-10-2020,41220116.4392144
12-10-2020,40282359.20881616
13-10-2020,40174570.524193056
14-10-2020,40752023.86799434
15-10-2020,40071688.23281438
16-10-2020,40319417.84363034
17-10-2020,40600818.869441055
18-10-2020,41237214.16137146
19-10-2020,40610039.73905713
20-10-2020,39933494.55092947
21-10-2020,39870641.353661515
22-10-2020,38724431.50635567
23-10-2020,39840236.356399715
24-10-2020,40052950.535145834
25-10-2020,43972402.979535654
26-10-2020,36874886.76436282
27-10-2020,38405151.85797504
28-10-2020,39090097.92796305
29-10-2020,38450611.37464956
30-10-2020,38339032.24297417
31-10-2020,38764756.5589028
01-11-2020,40777469.557478584
02-11-2020,38625339.662029296
03-11-2020,38883513.35744994
04-11-2020,39396070.30123892
05-11-2020,38127837.23765302
