Date,Mobility
15-02-2020,37591055.92584202
16-02-2020,37354844.48458589
17-02-2020,38178649.62471348
18-02-2020,37959526.420685574
19-02-2020,38004392.475585096
20-02-2020,38581296.59401349
21-02-2020,39110466.69818377
22-02-2020,38218055.200399496
23-02-2020,37800338.75132834
24-02-2020,37980652.172827944
25-02-2020,38415456.85912732
26-02-2020,37659662.28349869
27-02-2020,38581296.59401349
28-02-2020,39131592.45032614
29-02-2020,39006834.66416914
01-03-2020,38340198.43594172
02-03-2020,38864988.64078393
03-03-2020,38803034.34865618
04-03-2020,38987727.66948385
05-03-2020,38763971.15738408
06-03-2020,39080074.32989768
07-03-2020,38662953.673984244
08-03-2020,38561936.1905844
09-03-2020,40324210.469711214
10-03-2020,39538872.727698006
11-03-2020,38871640.70631286
12-03-2020,39026790.86075595
13-03-2020,39402829.56794021
14-03-2020,37389870.16094384
15-03-2020,38181264.17532827
16-03-2020,39102049.28394155
17-03-2020,38383894.935285665
18-03-2020,38663802.87588575
19-03-2020,39148360.33390031
20-03-2020,40037330.10992814
21-03-2020,39783777.022700004
22-03-2020,29618193.882302202
23-03-2020,40985661.65822881
24-03-2020,40399259.54567277
25-03-2020,30666715.742861066
26-03-2020,31110444.660890244
27-03-2020,31295137.98171791
28-03-2020,31032571.687089838
29-03-2020,32865449.050570544
30-03-2020,31379067.227889527
31-03-2020,31933996.392274044
01-04-2020,31452306.89361807
02-04-2020,31930212.28610369
03-04-2020,32413920.54221674
04-04-2020,31965811.72485949
05-04-2020,33456826.855612364
06-04-2020,32119538.915003218
07-04-2020,35101955.622442625
08-04-2020,35004975.65395693
09-04-2020,34708828.67803013
10-04-2020,35108607.68797156
11-04-2020,34494912.54447194
12-04-2020,36607697.848552726
13-04-2020,35317294.720300175
14-04-2020,33837542.93238823
15-04-2020,35020298.54247188
16-04-2020,35552336.60600073
17-04-2020,35911287.075956784
18-04-2020,35413678.895628154
19-04-2020,36310701.67072442
20-04-2020,36087562.98254224
21-04-2020,36468234.99779837
22-04-2020,36295996.60612706
23-04-2020,36421603.59418556
24-04-2020,36575904.54672715
25-04-2020,35463178.25859954
26-04-2020,36541110.24835312
27-04-2020,35945716.95915702
28-04-2020,36625403.90969853
29-04-2020,36354166.792084455
30-04-2020,37006329.33369845
01-05-2020,36580537.85479901
02-05-2020,36570675.44549757
03-05-2020,37747606.161193915
04-05-2020,37115168.43818279
05-05-2020,38376392.81522455
06-05-2020,39186893.824294284
07-05-2020,40134033.78627951
08-05-2020,40445503.650721245
09-05-2020,39539445.637465194
10-05-2020,41314406.22373229
11-05-2020,41533893.84293398
12-05-2020,42323864.89301906
13-05-2020,42495507.491532646
14-05-2020,42788719.563190594
15-05-2020,43371426.54524641
16-05-2020,42563518.05603161
17-05-2020,43282499.57582914
18-05-2020,42419653.275189325
19-05-2020,42682219.569817394
20-05-2020,42542392.303889245
21-05-2020,43095556.11956047
22-05-2020,43187902.77997431
23-05-2020,42840811.4460169
24-05-2020,44082311.00445578
25-05-2020,41692828.103547424
26-05-2020,43639199.9103442
27-05-2020,43783064.69118649
28-05-2020,43342457.14125968
29-05-2020,44592396.14470064
30-05-2020,44589185.800928146
31-05-2020,45824882.495739594
01-06-2020,45323601.215670615
02-06-2020,45024586.28038523
03-06-2020,45402643.74502658
04-06-2020,45209533.009956695
05-06-2020,45525636.18247029
06-06-2020,44973895.331098415
07-06-2020,45415583.460910656
08-06-2020,45275524.816998586
09-06-2020,45023990.487227514
10-06-2020,45587590.474598035
11-06-2020,44888796.52937123
12-06-2020,46338751.74215481
13-06-2020,44565445.49817099
14-06-2020,45581423.195796825
15-06-2020,45082160.67318491
16-06-2020,45153381.58145638
17-06-2020,44387150.834128454
18-06-2020,44506105.75665802
19-06-2020,44032833.67224427
20-06-2020,43399182.33215785
21-06-2020,41533187.04334627
22-06-2020,42599966.69668892
23-06-2020,42836773.93110276
24-06-2020,42278976.807359666
25-06-2020,42283863.524175316
26-06-2020,42104973.06697508
27-06-2020,41557865.52367507
28-06-2020,41793138.78735955
29-06-2020,40966487.71863324
30-06-2020,41261465.13900448
01-07-2020,42259274.01951666
02-07-2020,42963550.47471683
03-07-2020,43692990.19697352
04-07-2020,43158337.58282986
05-07-2020,36189043.22190993
06-07-2020,43705445.12612987
07-07-2020,43107415.25555912
08-07-2020,42440183.234173976
09-07-2020,42868589.263688214
10-07-2020,43903442.57801542
11-07-2020,43719918.81274331
12-07-2020,35825206.03513823
13-07-2020,43475036.54850118
14-07-2020,43150262.553001575
15-07-2020,42928524.79835888
16-07-2020,42403988.002260454
17-07-2020,43352297.51980125
18-07-2020,42494889.66761507
19-07-2020,34814093.02356818
20-07-2020,43077022.88727303
21-07-2020,42197319.72738892
22-07-2020,42605769.560316354
23-07-2020,42668573.0543456
24-07-2020,43393126.05978663
25-07-2020,42368962.32590251
26-07-2020,35128177.43862471
27-07-2020,42556270.19734496
28-07-2020,41743154.637660444
29-07-2020,41726066.40043222
30-07-2020,42750483.54306014
31-07-2020,43317867.636601016
01-08-2020,42889461.607086785
02-08-2020,34796751.37759617
03-08-2020,43483453.962743394
04-08-2020,42597098.73733034
05-08-2020,40881113.477402404
06-08-2020,41049567.762903355
07-08-2020,41743728.4000583
08-08-2020,41906700.17558589
09-08-2020,34117638.18945251
10-08-2020,42645153.1052425
11-08-2020,40972037.173516884
12-08-2020,40534617.93660272
13-08-2020,41816968.06578684
14-08-2020,42746170.58864234
15-08-2020,41724367.996629216
16-08-2020,34358482.938780494
17-08-2020,
18-08-2020,
19-08-2020,
20-08-2020,
21-08-2020,
22-08-2020,
23-08-2020,
24-08-2020,
25-08-2020,
26-08-2020,
27-08-2020,
28-08-2020,
29-08-2020,
30-08-2020,
31-08-2020,
01-09-2020,
02-09-2020,
03-09-2020,
04-09-2020,
05-09-2020,
06-09-2020,
07-09-2020,
08-09-2020,
09-09-2020,
10-09-2020,
11-09-2020,43024059.77178535
12-09-2020,42126419.1727715
13-09-2020,43495544.476725966
14-09-2020,43536141.63872742
15-09-2020,43368536.55512796
16-09-2020,43338144.186841875
17-09-2020,42299506.76634432
18-09-2020,43293531.54068615
19-09-2020,42918662.389057435
20-09-2020,45221876.93268306
21-09-2020,43577223.58745659
22-09-2020,44038636.5358717
23-09-2020,44176698.45308657
24-09-2020,43906310.53737399
25-09-2020,44370911.79880175
26-09-2020,44411144.545629404
27-09-2020,46355155.21055518
28-09-2020,44097655.92373059
29-09-2020,42955133.06047461
30-09-2020,42288817.18590124
01-10-2020,41053098.46032991
02-10-2020,39894425.53741736
03-10-2020,39845157.55242991
04-10-2020,41591170.76547014
05-10-2020,40198305.15875853
06-10-2020,40592281.305072516
07-10-2020,41263550.84137182
08-10-2020,42488833.395243846
09-10-2020,42725894.038401484
10-10-2020,42398505.49228709
11-10-2020,44809136.17609769
12-10-2020,43338993.38874338
13-10-2020,43627318.74358568
14-10-2020,43530338.77509999
15-10-2020,44176698.45308657
16-10-2020,44219545.75052901
17-10-2020,44218949.957371294
18-10-2020,45375350.71408299
19-10-2020,43989137.17290031
20-10-2020,43077022.88727303
21-10-2020,42191837.21741554
22-10-2020,41879518.1510723
23-10-2020,41521737.23667181
24-10-2020,43086014.0639131
25-10-2020,47144850.8211366
26-10-2020,40161029.34695957
27-10-2020,41905023.80254273
28-10-2020,42046869.82592795
29-10-2020,42819752.63878481
30-10-2020,41340000.85087286
31-10-2020,42195025.53042818
01-11-2020,43248643.45502676
02-11-2020,41210267.372230075
03-11-2020,41795588.90490068
04-11-2020,41360530.80985751
05-11-2020,41686154.007258624
06-11-2020,41748108.29938637
07-11-2020,42401693.80529973
08-11-2020,43969412.35429744
09-11-2020,42690614.95329974
10-11-2020,43306328.85425643
11-11-2020,43770930.11568418
12-11-2020,46635241.10249553
13-11-2020,44548214.858628966
14-11-2020,41568755.086218275
15-11-2020,43926333.67887106
16-11-2020,42782387.851315714
17-11-2020,45482282.067540266
18-11-2020,44414421.83431218
19-11-2020,45288322.13056887
20-11-2020,44097469.45989707
